,WK4-Monday,WK4-Tuesday,WK4-Wednesday,WK4-Thursday,WK4-Friday,WK4-Saturday,WK4-Sunday
09:00:00,13345.449,13545.012,13336.878,13545.744,13653.821,10806.396,10339.747
09:15:00,13489.896,13623.931,13682.293,13610.669,13757.488,10968.297,10341.398
09:30:00,13622.263,13909.816,13674.885,13667.626,13767.454,10877.197,10583.475
09:45:00,13748.502,13969.318,13811.731,13729.634,13935.084,11121.708,10780.449
10:00:00,13885.479,13958.318,13951.387,13821.294,14001.993,11026.44,10692.981
10:15:00,14083.401,14125.161,14079.26,14056.312,14399.123,11153.632,10844.914
10:30:00,14211.991,14400.155,14099.231,14239.996,14542.609,11229.768,10869.765
10:45:00,14236.487,14561.961,14309.955,14417.679,14534.811,11535.04,11039.091
11:00:00,14431.786,14420.865,14529.887,14390.573,14635.696,11272.653,11103.951
11:15:00,14443.572,14741.555,14517.366,14438.32,14674.029,11374.307,11241.648
11:30:00,14377.598,14845.498,14482.82,14502.497,14678.72,11429.169,11200.87
11:45:00,14646.546,14723.866,14222.187,14566.674,14595.099,11453.474,11302.339
12:00:00,14687.366,14941.692,14236.15,14716.152,14803.081,11465.808,11383.218
12:15:00,14730.915,15160.167,14610.101,14583.052,14776.543,11452.228,11650.343
12:30:00,14866.823,15091.743,14768.931,14710.869,14832.347,11500.208,11474.023
12:45:00,14967.509,15095.148,14716.021,14743.216,14741.917,11455.019,11399.0
13:00:00,15051.324,14938.375,14743.247,14919.874,14855.628,11585.031,11516.713
13:15:00,15154.443,14924.677,14935.433,14932.779,14820.42,11506.485,11497.246
13:30:00,15173.291,14822.53,14875.586,14757.331,14993.808,11630.823,11437.144
13:45:00,15054.684,14634.76,15056.789,14894.504,15011.748,11625.543,11515.649
14:00:00,15234.513,14616.336,14990.624,14828.773,15070.991,11678.257,11547.74
14:15:00,15142.884,14847.096,15012.068,14877.372,14932.55,11434.179,11451.307
14:30:00,15269.127,14939.477,15036.858,14905.039,15024.709,11681.633,11337.031
14:45:00,15098.293,14834.521,14914.371,14787.742,14997.046,11539.115,11638.93
15:00:00,15017.999,14810.813,14851.989,14765.407,15080.806,11539.551,11508.493
15:15:00,15051.294,14847.472,14898.572,14901.028,15124.944,11487.781,11497.56
15:30:00,15015.596,14963.579,14780.031,14782.581,15169.3,11476.894,11523.951
15:45:00,15011.818,14783.579,15062.003,14815.298,15044.577,11543.437,11370.469
16:00:00,15115.206,14904.917,14832.7,14760.563,14969.83,11658.617,11455.143
16:15:00,15127.024,14744.747,14711.267,14528.112,14740.785,11562.535,11300.981
16:30:00,14759.535,14583.576,14522.566,14362.011,14667.312,11434.218,11265.063
16:45:00,14637.894,14383.253,14198.193,14248.326,14387.83,11410.564,11267.211
17:00:00,14422.829,14200.489,13846.711,13929.878,14320.187,11396.65,11096.569
17:15:00,14275.969,14133.248,13618.446,13763.322,14352.029,11455.896,11147.622
17:30:00,14204.072,14264.165,13848.098,13868.643,14337.635,11515.035,11007.083
17:45:00,14339.744,14359.567,13695.725,13952.297,14360.766,11461.703,11152.698
18:00:00,14585.597,14955.2,14525.643,14377.846,14641.168,11687.387,11400.562
18:15:00,15513.408,15460.528,15088.855,14927.549,15307.897,12096.845,11802.764
18:30:00,16493.566,16625.553,16517.033,16166.684,16297.85,12655.517,12420.48
18:45:00,16754.568,17139.499,16878.134,16744.636,16775.701,13180.651,12800.484
19:00:00,16800.47,17071.64,17211.226,16798.291,16949.462,12913.443,13120.381
19:15:00,17134.403,17068.279,17203.345,16736.931,16933.546,12950.139,12839.182
19:30:00,16929.465,17355.271,17217.947,16755.146,16786.988,13135.923,13069.389
19:45:00,17071.998,17445.954,17305.336,16925.583,16786.401,12944.687,13004.877
20:00:00,16916.853,17323.374,17214.17,16924.551,16531.975,12960.415,13020.329
20:15:00,17014.943,17095.726,16761.959,16717.094,16413.298,12680.88,12858.105
20:30:00,16868.646,16934.078,16759.708,16791.62,16340.095,12749.5,12778.23
20:45:00,16660.758,16850.875,16738.669,16412.828,16183.669,12669.677,12857.822
21:00:00,16377.915,16503.472,16376.251,16536.7,16060.292,12576.708,12866.089
21:15:00,16266.755,16156.399,16074.698,16158.185,15725.649,12349.279,12774.819
21:30:00,15646.563,15978.001,15948.252,15876.015,15557.613,12390.848,12490.753
21:45:00,15256.802,15645.455,15472.311,15291.081,15430.007,12280.619,12353.132
22:00:00,15041.55,15282.996,15112.104,14924.701,14993.219,11940.187,12145.231
22:15:00,14770.774,14924.868,14941.89,14754.228,14473.619,11904.159,11954.475
22:30:00,14392.45,14483.272,14475.646,14445.472,14106.868,11676.052,11657.313
22:45:00,14201.499,14388.945,14264.812,14150.591,14139.731,11639.894,11387.351
23:00:00,13870.278,13972.417,14005.988,13772.24,13806.24,11255.811,11323.484
23:15:00,13597.086,13738.413,13870.625,13468.823,13602.296,11202.059,11133.149
23:30:00,13281.685,13479.356,13310.043,13214.714,13350.839,10911.399,10882.418
23:45:00,12952.591,13174.619,13201.492,13027.955,13179.936,10774.076,10641.913
