Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
183.026,176.867,219.331,204.57,-23.793,353.606,405.501,351.172,377.596,835.339,647.442,636.873,489.099,443.536,689.442,582.206,647.384,623.372,596.79,599.623,428.687,450.841380952381
198.018,175.264,230.308,214.364,-11.05,341.6,386.626,345.038,383.313,832.884,688.359,657.797,497.894,442.021,678.266,608.429,667.91,637.463,622.644,593.837,449.102,459.05176190476186
199.458,186.78,226.192,217.89,2.812,372.288,385.048,337.911,401.167,844.777,679.049,661.356,476.12,433.586,686.511,581.631,644.239,622.221,612.138,585.278,423.304,456.1788571428572
221.579,188.16,225.237,230.836,4.786,465.359,375.658,353.502,407.929,859.32,670.474,698.21,467.654,433.909,690.937,601.143,634.752,625.049,590.287,569.868,410.448,463.0998571428571
210.238,187.706,230.776,233.526,-2.718,469.818,366.213,358.428,416.566,808.592,651.799,687.126,460.283,456.002,662.628,628.697,641.028,655.509,601.704,562.101,414.497,461.9294761904762
220.052,194.937,232.64,232.02,-5.167,478.62,370.551,348.727,379.179,690.664,660.451,679.386,448.548,451.987,651.247,632.186,666.61,618.371,636.474,539.737,404.318,453.88276190476176
212.717,196.289,218.28,240.21,-18.66,458.006,379.007,354.981,378.157,708.074,624.823,683.037,436.8,461.501,655.776,657.249,657.551,643.026,651.852,550.324,415.417,455.4484285714286
201.33,183.156,217.536,233.958,-22.343,455.793,398.091,337.781,377.177,778.536,678.896,676.731,437.607,433.336,662.644,622.163,638.653,634.427,640.173,557.77,414.85,455.15547619047624
189.492,184.878,212.703,223.76,-28.358,451.096,404.037,314.78,376.907,769.784,668.079,652.758,444.707,429.076,642.207,635.266,649.161,637.679,630.251,521.922,402.008,448.1996666666667
200.933,184.14,208.714,219.731,-26.507,447.714,381.112,306.964,377.683,757.363,613.744,625.546,446.462,413.388,686.343,629.969,657.207,638.031,636.117,535.398,417.607,445.6028095238095
245.972,197.91,204.629,207.87,-15.612,460.668,367.831,316.65,364.874,718.271,636.016,640.427,420.176,416.189,643.053,638.301,616.398,593.134,614.712,497.529,420.547,438.3592857142858
234.027,189.094,213.058,201.456,-58.542,362.324,371.954,333.158,349.324,709.921,604.323,636.103,409.888,407.747,598.778,619.578,586.913,588.889,611.322,471.699,414.482,421.6902857142858
203.0,179.754,196.071,200.758,-66.841,386.45,370.247,343.246,338.778,699.57,567.002,557.151,403.82,410.621,560.139,599.287,584.453,542.743,545.741,448.24,398.591,403.27719047619047
118.693,174.451,181.087,200.948,-68.369,418.527,340.352,323.744,340.189,546.411,563.47,478.229,387.33,402.272,510.279,498.102,501.482,449.13,420.813,464.962,393.482,364.0754285714285
119.561,187.007,175.286,216.858,-50.357,409.793,354.853,333.561,358.711,523.241,517.688,485.944,372.756,403.807,483.873,452.531,504.011,442.153,406.398,482.031,389.44,360.4355238095238
139.846,197.536,184.77,219.814,-58.294,397.052,354.881,304.207,359.603,495.744,440.604,415.688,362.893,401.751,483.526,411.75,465.437,440.447,397.294,485.138,392.384,347.2414761904762
164.566,195.166,168.24,226.713,-69.391,380.8,331.008,311.977,349.982,411.941,411.849,407.562,358.136,410.497,411.421,420.591,448.388,428.827,406.741,457.499,391.926,334.49709523809526
126.117,158.103,132.366,200.65,71.348,357.659,349.552,301.277,311.231,366.407,369.956,374.701,318.141,375.659,352.077,378.471,369.259,376.869,375.186,466.354,386.306,310.36614285714285
127.434,152.548,111.853,171.244,150.687,361.88,325.186,299.259,307.056,353.14,389.909,369.631,305.893,344.73,334.068,360.482,368.91,372.161,395.409,458.516,377.796,306.5615238095238
127.288,96.287,124.487,182.408,149.504,370.123,325.973,300.941,312.657,341.771,399.31,370.051,338.401,337.199,359.341,369.796,344.314,381.19,396.144,452.418,400.619,308.582
151.097,131.106,164.562,201.543,206.427,381.778,337.073,348.969,355.858,375.829,385.612,424.141,375.266,373.709,393.146,418.567,383.73,406.187,406.934,468.213,441.239,339.5707619047619
160.822,175.127,179.599,206.378,241.363,360.724,377.49,352.793,373.199,396.051,479.401,455.476,417.378,425.819,487.661,455.267,429.041,462.472,456.856,514.58,485.21,375.84319047619044
157.718,157.416,179.804,172.101,222.558,469.196,367.258,360.547,337.466,405.73,481.011,432.439,433.108,416.958,478.072,433.943,434.493,472.824,471.973,515.526,456.851,374.14247619047615
142.087,162.881,166.526,186.342,217.927,464.402,375.638,338.382,362.136,404.638,465.268,437.733,432.75,410.471,475.437,434.362,404.787,450.169,456.621,495.332,452.71,368.40947619047625
138.949,167.454,167.521,182.173,212.513,477.848,385.231,349.786,350.558,401.632,479.317,435.753,389.5,388.914,467.998,473.162,423.409,457.371,462.547,506.502,428.931,368.90804761904764
138.203,169.468,173.266,196.958,221.603,473.014,369.619,337.108,368.638,418.644,466.069,453.904,427.148,412.747,479.553,468.532,439.523,505.809,463.186,510.561,445.708,378.0600476190476
148.699,163.579,149.698,161.933,212.839,453.978,385.814,346.347,358.72,407.891,495.783,422.85,398.447,411.757,471.949,480.459,365.117,516.366,463.357,488.324,436.666,368.5987142857142
137.611,158.314,172.891,160.777,197.924,457.288,370.457,351.204,356.234,421.707,486.979,433.16,405.613,417.483,484.546,471.307,380.571,487.42,456.623,433.61,458.41,366.67280952380946
142.323,162.547,146.199,157.589,205.166,456.976,385.566,373.679,338.032,417.476,466.129,438.787,387.694,421.027,449.949,486.434,437.396,459.052,465.512,422.589,433.17,364.4424761904761
155.96,144.261,93.234,163.181,203.0,377.454,319.409,354.129,345.206,417.747,455.236,466.727,392.053,416.158,460.469,475.512,474.807,427.109,441.857,434.344,425.262,354.4340476190476
149.954,92.34,87.467,158.519,211.202,294.927,344.842,368.896,362.939,404.954,424.701,423.692,385.149,427.9,452.069,467.784,485.578,415.634,405.484,463.109,400.37,344.1671428571429
141.313,89.964,91.897,138.883,211.713,282.308,343.046,384.179,362.457,414.782,403.918,414.373,401.997,461.944,400.352,476.944,440.007,443.07,451.129,458.766,434.918,345.14095238095234
161.016,83.343,105.67,176.667,216.189,305.206,370.9,366.664,384.653,396.942,445.481,440.509,388.529,440.941,432.3,478.618,460.357,437.7,454.087,456.581,439.25,354.36204761904764
116.347,115.132,73.476,184.598,215.297,296.706,364.591,365.867,357.319,379.093,415.849,434.339,396.144,434.291,404.663,470.372,476.372,442.133,441.492,424.589,412.84,343.88142857142856
136.839,109.684,120.289,167.827,215.424,313.424,343.653,390.358,405.493,392.073,457.042,422.499,349.312,419.45,432.992,468.367,451.072,449.69,470.34,445.213,434.463,352.1668571428571
125.782,116.914,75.987,197.576,203.912,291.176,364.409,381.246,382.114,360.822,426.137,371.219,332.867,428.261,401.243,461.406,411.903,412.888,421.423,466.258,409.497,335.3828571428572
98.417,97.124,91.943,164.373,202.987,288.811,338.254,389.408,370.188,400.752,445.068,391.459,345.026,429.388,437.41,468.147,434.439,436.801,458.069,387.978,428.061,338.29061904761903
125.129,87.112,93.789,198.623,203.573,293.931,346.834,404.352,397.228,398.49,449.873,375.923,353.132,433.466,428.177,458.342,405.966,370.138,432.788,379.374,431.024,336.53638095238097
115.036,100.334,99.389,197.764,207.324,301.433,380.662,384.083,393.488,397.273,444.363,401.16,364.569,428.192,404.998,429.289,399.441,402.329,432.713,388.163,436.942,338.52119047619044
117.048,85.358,87.237,190.7,215.981,338.649,350.116,420.389,405.207,291.534,409.221,361.811,366.623,415.283,402.866,437.859,422.924,394.316,392.356,381.604,395.254,327.73028571428574
122.089,108.019,95.076,188.691,207.547,301.978,358.351,390.772,383.654,312.369,418.04,395.024,366.428,397.994,382.556,431.856,381.232,415.39,356.797,369.096,352.923,320.75628571428564
113.829,98.608,86.042,165.24,203.481,292.118,366.649,394.246,391.154,295.899,394.052,363.993,306.083,384.638,402.878,399.537,374.766,309.569,381.963,362.448,349.737,306.5204761904762
