P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter
11273.396,10829.004,10881.43,11085.902,11470.909,11210.7,11125.833,10065.159,10261.673,12303.195,12353.811,12533.058,11538.996,10837.354,12228.939,12396.087,14638.104,12105.191,12262.631,11567.171,10920.608,11613.769095238094
11241.962,11014.088,10968.958,11250.209,11673.526,11345.841,11233.927,10381.767,10410.638,12538.191,12498.776,12561.556,11644.024,10984.308,12389.572,12567.62,14768.189,12505.568,12479.078,11767.95,11098.184,11777.330095238096
11360.105,11307.688,11232.441,11512.344,11695.359,11611.877,11234.306,10595.758,10546.793,12775.84,12778.293,12628.128,11871.886,11053.023,12556.646,12955.385,15086.856,12563.825,12456.948,11917.788,11119.133,11945.734380952383
11515.974,11469.485,11315.438,11667.052,11896.896,11688.703,11437.895,10530.452,10599.47,12900.153,12934.671,13075.617,11944.65,11181.136,12679.636,12929.783,15252.261,12636.425,12643.601,12103.025,11300.042,12081.064999999999
11508.062,11600.536,11562.787,11733.705,11983.923,11955.015,11515.951,10663.987,10901.376,12973.094,13034.096,13278.702,12210.166,11303.105,12614.905,12997.748,15437.933,12853.359,12659.03,12124.661,11548.523,12212.41257142857
11744.86,11749.109,11636.772,11782.51,11950.193,11901.068,11649.719,10840.75,11124.134,13166.712,13280.634,13446.155,12256.539,11592.017,12833.794,13055.443,15726.168,12970.576,12825.312,12471.126,11784.946,12370.882714285714
11796.621,11824.503,11675.543,11784.628,12018.898,12061.91,11679.562,10898.02,11131.432,12524.055,13280.073,13437.481,12379.791,11603.719,12929.38,13141.718,15767.887,13241.375,12962.352,12689.488,11881.92,12414.77885714286
12058.269,11936.683,11650.445,12011.544,12062.248,12171.089,11963.562,11249.45,11317.75,13217.076,13591.867,13607.95,12554.162,11838.427,13062.882,13294.412,15862.498,13103.012,13089.128,12522.705,12006.005,12579.579238095237
12019.439,11911.116,11952.33,12044.895,12243.93,12190.589,11999.67,11321.688,11441.642,13364.798,13526.537,13732.099,12409.051,11806.415,13152.563,13409.778,16037.176,13565.077,13101.177,12974.188,12033.674,12677.992
12243.614,11931.437,12039.775,11997.461,11913.53,12366.487,12032.084,11250.999,11360.029,13529.208,13508.218,13692.648,12523.154,11941.076,13294.33,13493.838,16183.952,13487.021,13439.643,12970.92,12228.81,12734.67780952381
12305.611,12002.507,12099.655,12383.575,11956.056,12410.221,12168.155,11434.044,11472.782,13618.41,13673.049,13970.114,12701.943,11985.537,13234.065,13346.879,16205.018,13429.607,13406.789,13121.247,12272.399,12818.936333333333
12369.402,12022.236,11723.859,12142.615,12026.269,12339.145,12062.191,11506.708,11584.936,13407.873,13777.889,13850.529,12799.543,12141.154,13373.711,13531.966,15961.845,13443.025,13460.181,13074.256,12410.063,12809.971238095239
