modified_index,P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,P-FW1-MON,P-FW1-TUE,P-FW1-WED,P-FW1-THU,P-FW1-FRI,P-FW1-SAT,P-FW1-SUN,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN,P-FW3-MON,P-FW3-TUE,P-FW3-WED,P-FW3-THU,P-FW3-FRI,P-FW3-SAT,P-FW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
05:00:00,2657.062,2589.127,2530.996,2541.944,2509.339,2597.812,2531.643,2515.82,2409.744,2281.463,2506.08,2519.276,2413.556,2344.625,2564.088,2447.239,2577.419,2423.358,2563.774,2476.998,2403.547,2481.585,2508.813,2566.74,2526.243,2458.994,1797.842,1843.256,1867.098,1796.153,1850.48,1891.387,1987.02,2439.591,2562.579,2447.454,2439.85,2512.19,2635.095,2564.157,2483.24,2395.87,2525.481,2658.556,2679.301,2504.146,2568.502,2469.633,2410.627,2413.812102040816,2504.146,2657.062,2419.1871122448983,2472.2073528271785
05:15:00,2743.679,2642.867,2600.048,2598.541,2613.118,2634.862,2512.359,2556.37,2462.172,2387.526,2468.395,2531.489,2357.297,2348.77,2629.996,2443.859,2566.749,2473.272,2599.329,2500.698,2335.046,2512.61,2538.388,2583.069,2602.847,2525.084,1800.884,1730.124,1863.313,1813.741,1836.229,1884.146,1955.913,2452.777,2586.991,2403.976,2408.117,2532.802,2628.625,2564.407,2459.292,2376.637,2560.375,2675.681,2723.587,2548.181,2578.276,2484.014,2422.234,2429.7706530612236,2512.61,2743.679,2477.685426681783,2496.2833389294474
05:30:00,2783.719,2734.813,2680.821,2608.73,2644.937,2608.953,2514.948,2602.16,2489.474,2380.391,2545.824,2615.325,2406.516,2352.717,2671.329,2516.066,2604.082,2545.308,2635.841,2535.669,2365.96,2603.969,2598.628,2671.81,2639.291,2574.281,1814.032,1780.681,1900.727,1849.233,1857.657,1898.03,2029.407,2467.824,2555.064,2396.312,2412.01,2553.605,2676.827,2643.632,2456.831,2388.026,2625.369,2722.562,2722.282,2599.939,2645.111,2496.899,2404.01,2465.8700408163268,2553.605,2783.719,2480.52196232339,2455.637151381444
05:45:00,2808.969,2799.111,2758.111,2744.088,2670.021,2681.676,2503.865,2622.197,2562.368,2504.645,2574.489,2604.284,2399.686,2339.692,2713.637,2597.893,2660.859,2607.637,2711.13,2536.79,2368.633,2604.084,2664.029,2724.474,2735.23,2691.855,1849.449,1783.094,1897.286,1897.613,1908.644,1970.743,2041.809,2487.103,2585.899,2409.183,2429.443,2583.847,2702.58,2698.697,2481.958,2417.299,2712.372,2793.7,2772.277,2632.496,2699.176,2490.946,2409.855,2507.039224489796,2597.893,2808.969,2523.050384797397,2516.038956825261
06:00:00,2875.862,2856.438,2768.063,2846.754,2709.304,2650.389,2545.279,2712.461,2675.503,2583.61,2663.484,2720.673,2439.72,2343.08,2795.564,2686.138,2807.104,2681.74,2786.902,2558.032,2397.031,2719.105,2730.271,2811.962,2769.621,2682.774,1856.3,1839.582,2070.36,1935.74,1988.618,1992.564,2141.003,2489.19,2558.885,2447.342,2490.844,2617.328,2828.684,2759.879,2444.094,2467.843,2795.3,2819.228,2850.198,2699.727,2755.737,2502.645,2459.672,2563.82912244898,2675.503,2875.862,2567.159812401883,2557.733115783293
06:15:00,2958.544,2954.018,2806.387,2868.546,2797.605,2581.321,2440.585,2760.048,2699.771,2548.601,2668.311,2771.847,2431.53,2369.138,2828.996,2706.692,2833.428,2778.767,2764.926,2515.206,2374.622,2771.321,2772.87,2785.523,2789.198,2743.834,1844.107,1733.365,2059.901,2008.576,1935.904,1981.916,2137.598,2452.58,2526.638,2441.389,2429.476,2624.583,2807.082,2757.302,2460.051,2387.397,2797.423,2899.721,2971.678,2883.653,2784.643,2460.089,2433.572,2574.2914081632653,2699.771,2958.544,2564.464658555729,2551.234761441294
06:30:00,2983.107,2840.156,2819.328,2827.926,2776.61,2540.517,2342.371,2806.494,2739.865,2610.391,2667.751,2725.684,2293.299,2216.338,2739.064,2698.033,2820.504,2717.612,2776.546,2453.689,2288.233,2804.594,2757.506,2754.917,2811.873,2747.379,1763.103,1706.46,2069.422,2024.443,1975.972,2031.642,2046.844,2405.193,2480.937,2267.363,2352.461,2654.902,2829.832,2832.409,2333.69,2295.103,2823.584,2892.845,2933.13,2858.022,2749.157,2369.182,2275.486,2541.4483469387765,2698.033,2983.107,2565.1356970172674,2579.1435594250693
06:45:00,2995.138,2849.952,2807.459,2806.816,2855.953,2450.095,2310.16,2756.585,2717.388,2598.337,2704.657,2842.151,2231.9,2149.843,2704.646,2702.709,2825.986,2733.079,2751.417,2469.712,2254.307,2684.078,2717.125,2732.58,2761.895,2723.192,1756.539,1704.698,1994.15,1958.017,2034.236,2061.468,2111.423,2352.413,2426.917,2189.509,2236.493,2630.263,2810.888,2782.002,2288.89,2201.834,2751.471,2989.423,2929.037,2789.943,2768.9,2298.786,2204.824,2518.55681632653,2702.709,2995.138,2565.1356970172674,2589.174695372574
07:00:00,2959.72,2871.812,2838.656,2828.702,2793.763,2472.727,2278.736,2756.379,2645.993,2633.849,2666.686,2849.697,2240.017,2134.219,2743.234,2682.869,2812.014,2753.751,2775.812,2434.522,2235.828,2678.028,2658.258,2635.865,2840.772,2735.074,1728.361,1740.436,1928.069,1962.117,1969.467,2003.474,2203.147,2316.938,2372.331,2154.269,2161.819,2704.34,2808.231,2802.24,2325.804,2191.147,2729.625,2946.659,2908.921,2732.539,2760.799,2310.261,2196.831,2508.465469387755,2658.258,2959.72,2565.1083893249597,2589.6000846160427
07:15:00,2964.072,2861.848,2907.424,2872.375,2780.396,2504.831,2322.968,2735.56,2685.518,2696.222,2783.998,2848.984,2316.169,2199.449,2783.938,2734.075,2826.361,2769.768,2831.751,2465.939,2242.464,2722.56,2699.604,2684.771,2841.095,2780.919,1745.223,1705.377,1993.594,2026.563,2047.486,2024.342,2150.603,2337.806,2336.471,2206.907,2195.268,2692.639,2832.148,2864.378,2328.609,2155.621,2812.577,2927.24,2874.175,2709.92,2860.321,2403.506,2187.129,2536.3461632653057,2696.222,2964.072,2564.0890431711136,2588.7351518994283
