modified_index,P-FW1-FRI,P-FW2-FRI,P-FW3-FRI,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
11:15:00,2362.456,3654.077,3527.615,3181.382666666667,3527.615,2362.456,3060.596688888889,3060.7902244382253
11:30:00,2291.854,3705.829,3560.484,3186.0556666666666,3560.484,2291.854,2957.1801111111113,2956.448174366982
11:45:00,2232.967,3733.93,3591.637,3186.178,3591.637,2232.967,2957.1801111111113,2939.0965008635635
12:00:00,2071.348,3723.329,3597.121,3130.599333333333,3597.121,2071.348,2957.1801111111113,2939.173289121117
12:15:00,2052.08,3664.544,3557.967,3091.5303333333336,3557.967,2052.08,2957.1801111111113,2939.300206890763
12:30:00,1978.091,3732.365,3547.697,3086.051,3547.697,1978.091,2957.1801111111113,2939.229036012066
12:45:00,1952.137,3723.07,3522.916,3066.0409999999997,3522.916,1952.137,2957.1801111111113,2939.129293535841
13:00:00,1904.686,3695.819,3553.387,3051.2973333333334,3553.387,1904.686,2941.0416666666665,2941.143977721941
13:15:00,1877.632,3717.146,3508.102,3034.2933333333335,3508.102,1877.632,2941.0416666666665,2940.9534782645724
13:30:00,1883.188,3705.6,3509.143,3032.643666666667,3509.143,1883.188,2941.0416666666665,2940.9534771243443
13:45:00,1869.328,3730.655,3520.434,3040.1390000000006,3520.434,1869.328,2941.0416666666665,2940.9715976970488
14:00:00,1867.607,3749.091,3566.166,3060.954666666667,3566.166,1867.607,2941.0416666666665,2941.1014673189825
14:15:00,1906.503,3800.888,3537.953,3081.781333333333,3537.953,1906.503,2941.0416666666665,2941.1312169794273
14:30:00,1915.087,3779.892,3505.148,3066.7090000000003,3505.148,1915.087,2941.0416666666665,2941.095160194154
14:45:00,1926.183,3738.557,3587.749,3084.163,3587.749,1926.183,2941.0416666666665,2941.1856150618796
15:00:00,1891.741,3741.281,3595.214,3076.078666666667,3595.214,1891.741,2941.0416666666665,2941.144779089537
15:15:00,1884.107,3642.947,3630.474,3052.5093333333334,3630.474,1884.107,2941.0416666666665,2941.1017553956203
15:30:00,1864.187,3630.409,3653.657,3049.4176666666667,3630.409,1864.187,2941.0416666666665,2941.093783164375
15:45:00,1854.952,3633.141,3650.956,3046.3496666666665,3633.141,1854.952,2941.0416666666665,2941.1064599879783
16:00:00,1900.973,3612.478,3620.824,3044.758333333333,3612.478,1900.973,2941.0416666666665,2941.0937496496563
16:15:00,1849.994,3571.182,3572.916,2998.030666666667,3571.182,1849.994,2941.0416666666665,2940.8780747420924
16:30:00,1847.509,3408.79,3447.301,2901.2000000000003,3408.79,1847.509,2941.0416666666665,2941.4710837107255
16:45:00,1875.47,3269.281,3222.423,2789.0579999999995,3222.423,1875.47,2941.0416666666665,2942.5025763762183
17:00:00,1881.291,3198.658,3147.607,2742.518666666667,3147.607,1881.291,2941.0416666666665,2942.9458198904913
17:15:00,1880.436,3094.082,3055.075,2676.531,3055.075,1880.436,2842.1484,2837.1026389694675
17:30:00,1871.397,3062.213,3049.102,2660.904,3049.102,1871.397,2955.735611111111,2960.3933459124974
17:45:00,2358.272,3023.697,3040.298,2807.4223333333334,3023.697,2358.272,2955.735611111111,2958.926187342207
18:00:00,2719.824,3075.287,3172.98,2989.3636666666666,3075.287,2719.824,2955.735611111111,2955.789373106104
18:15:00,2778.617,3166.964,3270.024,3071.8683333333333,3166.964,2778.617,3128.7444888888886,3129.8467097058715
18:30:00,2948.353,3329.399,3474.426,3250.726,3329.399,2948.353,3247.0437777777774,3249.160903963881
18:45:00,3136.843,3581.618,3689.109,3469.19,3581.618,3136.843,3362.2677333333336,3364.3143980466566
19:00:00,3142.473,3606.175,3788.64,3512.4293333333335,3606.175,3142.473,3537.874477777778,3537.621896280623
19:15:00,3161.76,3640.439,3780.524,3527.5743333333335,3640.439,3161.76,3164.354518518518,3161.061514081589
19:30:00,3216.077,3657.327,3849.484,3574.2960000000003,3657.327,3216.077,3399.194037037037,3395.4152742358874
