modified_index,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
13:00:00,3554.927,3687.288,3580.798,3463.172,3465.173,3292.489,3137.746,3454.5132857142858,3465.173,3554.927,3377.2767571428567,3373.4922886802324
13:15:00,3543.283,3687.833,3543.41,3510.441,3459.942,3291.021,3093.794,3447.103428571429,3510.441,3543.283,3383.5649714285714,3376.420773054436
13:30:00,3606.75,3715.811,3479.268,3528.145,3489.638,3268.646,3098.03,3455.184,3489.638,3606.75,3433.14169924812,3373.289382122369
13:45:00,3622.484,3693.05,3406.889,3571.71,3485.937,3288.42,3105.737,3453.461,3485.937,3622.484,3404.916828571429,3379.4510601719644
14:00:00,3611.607,3685.46,3429.167,3526.682,3511.946,3244.891,3082.04,3441.6847142857146,3511.946,3611.607,3401.398844155844,3431.6495253801054
14:15:00,3617.347,3636.339,3487.657,3566.532,3505.599,3190.362,3093.625,3442.494428571429,3505.599,3617.347,3502.047349753695,3505.6928531719836
14:30:00,3656.537,3676.066,3464.615,3536.143,3604.319,3154.875,3047.508,3448.580428571429,3536.143,3656.537,3622.358477088949,3622.54829902094
14:45:00,3639.516,3674.693,3468.41,3571.402,3597.121,3151.38,2996.524,3442.7208571428573,3571.402,3639.516,3451.5527942857143,3452.275951621886
15:00:00,3642.814,3639.553,3399.723,3548.709,3564.966,3156.502,2993.604,3420.838714285714,3548.709,3642.814,3400.8027362637363,3400.3743292960044
15:15:00,3695.308,3646.182,3349.954,3505.764,3548.99,3173.417,2993.023,3416.0911428571426,3505.764,3695.308,3395.145657142857,3394.5083387406785
15:30:00,3736.38,3668.554,3346.814,3524.229,3486.157,3070.543,2995.135,3403.9731428571426,3486.157,3736.38,3395.145657142857,3394.756396492397
15:45:00,3705.222,3700.608,3334.528,3590.258,3531.645,3012.533,3009.868,3412.094571428571,3531.645,3705.222,3395.145657142857,3395.0632718421216
16:00:00,3689.427,3628.752,3368.778,3552.431,3502.274,2991.067,3025.401,3394.0185714285712,3502.274,3689.427,3395.145657142857,3394.546162356411
16:15:00,3613.09,3542.135,3304.899,3531.434,3462.354,3004.013,2955.814,3344.819857142857,3462.354,3613.09,3329.418758241759,3331.1616620680597
16:30:00,3425.021,3435.443,3264.146,3425.016,3394.803,2968.499,3002.166,3273.5848571428573,3394.803,3425.021,3307.4617142857137,3307.710214636506
16:45:00,3341.253,3283.74,3161.501,3317.974,3313.45,2916.803,2961.354,3185.1535714285715,3283.74,3341.253,3218.0158571428574,3217.903670413857
17:00:00,3185.11,3203.983,3080.872,3172.982,3200.682,2868.676,2903.486,3087.970142857143,3172.982,3185.11,3189.939897959184,3200.9141111304307
17:15:00,3132.456,3142.944,2980.578,3078.17,3083.456,2879.037,2845.757,3020.342571428572,3078.17,3132.456,3123.2452619047617,3131.7161467119513
17:30:00,3016.761,3123.693,2959.66,3103.094,2998.601,2887.829,2874.316,2994.850571428571,2998.601,3016.761,2996.9980228571426,2997.1017753463316
17:45:00,3088.047,3087.259,2969.875,3049.3,3002.352,2918.595,2900.57,3002.2854285714284,3002.352,3088.047,3123.279271428571,3126.342928813943
18:00:00,3127.839,3182.382,3108.321,3142.321,3081.64,3013.201,2944.243,3085.7067142857136,3108.321,3127.839,3131.237671428571,3139.7467420065263
18:15:00,3241.553,3382.447,3222.533,3271.625,3245.906,3078.011,3015.022,3208.156714285714,3241.553,3241.553,3261.7404761904763,3262.180832912007
18:30:00,3452.353,3612.019,3476.318,3475.708,3421.964,3268.02,3177.59,3411.996,3452.353,3452.353,3431.419727272728,3431.4146699780563
18:45:00,3602.484,3711.741,3619.381,3606.538,3451.64,3326.742,3236.87,3507.913714285714,3602.484,3602.484,3465.817765306123,3464.954317282891
19:00:00,3652.867,3740.615,3705.844,3617.182,3513.86,3325.743,3365.119,3560.175714285714,3617.182,3652.867,3555.3634081632645,3567.866957631442
19:15:00,3693.687,3817.928,3678.041,3666.122,3464.917,3370.851,3415.903,3586.7784285714283,3666.122,3693.687,3580.798242857143,3570.1836283635153
19:30:00,3760.043,3804.115,3689.382,3698.084,3495.442,3400.651,3433.371,3611.5839999999994,3689.382,3760.043,3581.0925428571427,3562.1722660597284
19:45:00,3754.882,3818.27,3618.223,3698.531,3518.509,3386.319,3491.903,3612.376714285714,3618.223,3754.882,3581.0925428571427,3570.704124823703
20:00:00,3808.337,3861.564,3629.708,3671.726,3542.578,3376.095,3503.59,3627.6568571428575,3629.708,3808.337,3581.0925428571427,3580.4117292666483
20:15:00,3822.051,3822.981,3579.349,3701.579,3509.259,3343.601,3566.676,3620.7851428571425,3579.349,3822.051,3610.3267809523804,3610.125348082358
20:30:00,3802.528,3905.743,3622.599,3728.771,3520.631,3363.288,3511.218,3636.3968571428572,3622.599,3802.528,3742.553019933555,3743.2221454905643
20:45:00,3717.972,3862.747,3527.467,3685.131,3604.823,3343.622,3570.34,3616.0145714285713,3604.823,3717.972,3593.3497744360907,3593.291229757296
21:00:00,3765.267,3889.718,3440.719,3705.577,3560.184,3340.258,3573.283,3610.7151428571424,3573.283,3765.267,3509.1071428571436,3512.003533614585
21:15:00,3636.378,3804.946,3382.858,3527.944,3496.52,3345.484,3535.887,3532.8595714285716,3527.944,3636.378,3472.7084000000004,3475.433219204264
