Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Euclidean Barycenter
22.047,4.12,65.772,41.81,69.064,222.394,258.536,97.67757142857143
54.383,26.304,64.314,69.923,144.61,243.809,251.949,122.18457142857142
67.017,71.832,95.364,93.309,158.334,239.278,252.043,139.59671428571428
98.413,147.464,106.879,128.529,150.924,215.236,255.472,157.55957142857145
127.512,140.359,136.47,208.124,172.26,240.488,366.304,198.78814285714284
182.943,169.443,143.911,229.046,184.618,233.828,388.79,218.93985714285714
182.494,166.453,180.8,225.068,205.756,261.958,356.672,225.60014285714286
159.682,128.773,203.862,228.42,207.231,275.65,332.744,219.4802857142857
163.558,166.913,209.386,238.742,215.486,293.694,369.524,236.75757142857142
163.353,169.292,213.934,219.318,196.799,325.912,352.837,234.49214285714285
185.196,160.589,218.879,215.294,192.274,377.893,335.091,240.74514285714284
192.598,165.792,220.539,219.552,216.322,370.514,360.133,249.35
188.641,162.287,191.85,233.504,216.027,409.654,332.278,247.74871428571427
177.634,161.152,200.422,233.746,225.494,437.964,396.467,261.8398571428571
188.841,161.549,216.576,242.794,200.501,429.409,414.712,264.9117142857143
205.943,160.86,200.281,244.356,181.132,414.049,376.646,254.75242857142857
205.68,167.014,215.004,226.561,31.946,424.717,379.037,235.70842857142858
208.193,173.759,223.126,221.293,15.194,436.949,395.962,239.21085714285712
213.984,174.723,227.263,231.584,11.706,414.097,372.463,235.11714285714285
219.28,161.633,233.459,228.018,0.478,425.967,381.923,235.82257142857142
207.302,186.041,228.898,215.329,-12.607,410.217,408.771,234.85014285714283
180.786,183.578,236.709,207.94,-25.618,386.607,424.084,227.72657142857148
183.026,176.867,219.331,204.57,-23.793,353.606,405.501,217.01542857142857
198.018,175.264,230.308,214.364,-11.05,341.6,386.626,219.30428571428573
199.458,186.78,226.192,217.89,2.812,372.288,385.048,227.20971428571428
221.579,188.16,225.237,230.836,4.786,465.359,375.658,244.51642857142855
210.238,187.706,230.776,233.526,-2.718,469.818,366.213,242.2227142857143
220.052,194.937,232.64,232.02,-5.167,478.62,370.551,246.23614285714282
212.717,196.289,218.28,240.21,-18.66,458.006,379.007,240.83557142857146
201.33,183.156,217.536,233.958,-22.343,455.793,398.091,238.21728571428568
189.492,184.878,212.703,223.76,-28.358,451.096,404.037,233.944
200.933,184.14,208.714,219.731,-26.507,447.714,381.112,230.83385714285717
245.972,197.91,204.629,207.87,-15.612,460.668,367.831,238.46685714285715
234.027,189.094,213.058,201.456,-58.542,362.324,371.954,216.19585714285714
203.0,179.754,196.071,200.758,-66.841,386.45,370.247,209.91985714285715
118.693,174.451,181.087,200.948,-68.369,418.527,340.352,195.09842857142854
119.561,187.007,175.286,216.858,-50.357,409.793,354.853,201.85728571428575
139.846,197.536,184.77,219.814,-58.294,397.052,354.881,205.08642857142857
164.566,195.166,168.24,226.713,-69.391,380.8,331.008,199.586
126.117,158.103,132.366,200.65,71.348,357.659,349.552,199.39928571428572
127.434,152.548,111.853,171.244,150.687,361.88,325.186,200.11885714285714
127.288,96.287,124.487,182.408,149.504,370.123,325.973,196.58142857142857
151.097,131.106,164.562,201.543,206.427,381.778,337.073,224.79799999999997
160.822,175.127,179.599,206.378,241.363,360.724,377.49,243.07185714285714
157.718,157.416,179.804,172.101,222.558,469.196,367.258,246.5787142857143
142.087,162.881,166.526,186.342,217.927,464.402,375.638,245.11471428571426
138.949,167.454,167.521,182.173,212.513,477.848,385.231,247.38414285714288
138.203,169.468,173.266,196.958,221.603,473.014,369.619,248.8758571428572
148.699,163.579,149.698,161.933,212.839,453.978,385.814,239.5057142857143
137.611,158.314,172.891,160.777,197.924,457.288,370.457,236.46599999999995
142.323,162.547,146.199,157.589,205.166,456.976,385.566,236.62371428571433
155.96,144.261,93.234,163.181,203.0,377.454,319.409,208.0712857142857
149.954,92.34,87.467,158.519,211.202,294.927,344.842,191.32157142857142
141.313,89.964,91.897,138.883,211.713,282.308,343.046,185.58914285714286
161.016,83.343,105.67,176.667,216.189,305.206,370.9,202.713
116.347,115.132,73.476,184.598,215.297,296.706,364.591,195.16385714285713
136.839,109.684,120.289,167.827,215.424,313.424,343.653,201.02
125.782,116.914,75.987,197.576,203.912,291.176,364.409,196.53657142857142
98.417,97.124,91.943,164.373,202.987,288.811,338.254,183.12985714285716
125.129,87.112,93.789,198.623,203.573,293.931,346.834,192.713
115.036,100.334,99.389,197.764,207.324,301.433,380.662,200.27742857142857
117.048,85.358,87.237,190.7,215.981,338.649,350.116,197.86985714285714
122.089,108.019,95.076,188.691,207.547,301.978,358.351,197.39300000000003
113.829,98.608,86.042,165.24,203.481,292.118,366.649,189.42385714285714
