Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Euclidean Barycenter
427.858,520.213,504.682,448.699,498.58,524.394,477.471,436.732,330.296,416.439,421.606,441.726,479.122,376.908,396.803,465.118,406.168,417.636,438.113,402.619,401.939,456.056,463.346,403.254,444.83,476.973,166.812,123.396,420.27817857142867
425.261,519.772,505.708,424.483,478.33,494.76,454.472,423.768,333.278,419.172,410.374,424.686,439.782,420.359,450.127,432.269,398.273,411.674,410.583,375.443,375.71,445.653,476.496,394.973,433.343,483.703,164.001,170.608,414.18075
423.404,514.756,489.353,419.533,461.878,487.718,460.492,416.996,312.204,433.613,378.224,428.996,442.3,445.477,464.967,425.422,397.943,398.749,397.551,344.649,397.909,448.204,466.572,418.147,439.728,484.209,139.201,182.753,411.4624285714286
440.713,479.3,484.509,409.01,465.869,491.038,457.816,409.407,303.116,425.096,401.398,406.118,436.18,420.409,451.668,435.044,365.067,396.982,385.249,360.864,392.612,441.479,437.747,411.673,435.834,474.339,106.758,148.544,402.6371071428571
421.593,492.112,493.163,398.782,462.058,513.777,448.512,432.347,316.629,433.408,389.719,411.612,419.747,418.549,479.928,444.647,368.902,382.102,388.304,410.618,400.103,435.882,439.707,407.47,432.18,482.761,146.268,154.13,408.03607142857135
438.813,509.263,478.549,404.203,474.852,509.911,462.004,410.958,328.47,404.102,391.214,420.731,435.722,443.526,454.803,432.25,327.209,372.589,383.411,424.686,402.796,443.211,441.834,406.494,445.174,470.348,129.193,161.981,407.4391785714286
430.461,518.142,489.547,405.596,461.609,503.799,473.428,423.904,307.801,396.262,412.58,400.376,386.637,410.326,464.263,432.148,349.967,337.79,382.046,424.75,385.712,450.873,444.427,390.177,428.73,446.836,162.634,155.73,402.7339642857142
424.558,533.28,479.028,387.348,472.153,536.02,464.427,429.186,285.797,390.748,408.376,391.654,428.161,429.347,440.731,402.052,332.669,358.718,359.961,402.719,406.206,462.306,401.101,403.433,432.39,389.322,137.838,156.61,398.0763928571428
416.27,529.324,487.554,408.284,475.778,515.972,476.657,430.164,333.513,394.911,414.159,428.043,409.166,414.279,460.391,447.558,335.764,372.91,371.513,420.547,381.573,459.002,439.512,401.837,464.43,379.533,162.94,133.323,405.88953571428567
420.06,502.237,492.336,403.326,485.12,532.164,467.168,477.063,305.568,442.461,398.31,398.321,399.247,440.458,452.631,455.322,311.718,382.243,399.399,419.683,417.39,471.318,428.796,409.346,469.896,408.941,114.791,150.078,409.12110714285717
441.508,534.757,491.896,378.103,469.983,531.122,450.621,457.867,329.011,421.867,411.448,418.827,393.088,417.621,477.926,474.737,292.9,399.318,400.754,430.649,433.113,483.258,426.322,443.126,470.279,390.682,133.986,165.049,413.2077857142858
422.923,529.38,491.079,395.612,458.861,520.647,431.254,447.721,325.477,406.907,402.246,358.381,415.742,415.667,380.13,501.156,298.514,355.294,426.787,433.467,398.143,498.166,392.708,422.539,478.632,429.071,110.589,154.566,403.63067857142863
424.823,499.258,534.34,409.088,501.392,545.79,459.503,436.3,332.264,351.268,419.651,387.532,326.411,389.22,326.009,480.193,315.109,385.574,422.254,437.062,343.352,416.617,381.729,441.106,458.573,453.899,109.844,147.353,397.69692857142854
458.49,466.84,400.92,402.899,500.796,509.397,451.38,474.171,327.984,298.252,422.034,402.632,325.953,383.836,352.237,438.347,282.763,384.927,416.389,410.901,355.394,349.697,387.02,455.672,450.019,447.277,98.186,76.352,383.24160714285716
455.299,450.663,409.977,398.447,487.423,518.113,456.223,445.65,349.322,316.351,313.02,362.858,329.603,299.94,350.777,340.066,300.626,365.892,461.489,437.896,328.891,313.698,373.497,370.606,338.602,448.768,94.15,100.063,364.92535714285714
425.493,451.247,400.442,395.683,508.16,423.673,450.148,488.434,296.312,321.308,289.572,402.259,313.451,276.89,336.65,335.701,286.659,388.848,382.188,360.467,344.738,346.966,319.539,381.984,317.451,384.887,99.802,83.997,350.46246428571436
414.087,450.377,378.818,405.431,521.683,422.122,420.122,478.464,281.928,336.334,261.641,361.821,305.243,276.558,338.062,350.2,320.302,359.866,334.154,270.846,326.581,314.609,301.592,391.429,335.063,299.663,104.64,72.274,336.9253571428571
400.17,421.966,404.43,381.062,388.909,400.651,429.668,470.351,240.061,304.25,299.49,372.158,297.608,257.098,310.382,320.718,280.641,351.282,323.906,276.776,325.916,308.791,299.543,389.877,349.624,297.531,98.83,93.747,324.837
374.276,480.131,366.429,392.594,381.772,427.474,457.388,418.637,225.961,310.644,258.473,374.904,328.373,253.244,304.682,352.724,297.621,360.747,318.947,267.742,335.619,288.818,296.126,351.977,317.454,344.633,86.968,67.472,322.92250000000007
394.536,430.951,360.604,372.056,345.331,375.94,430.252,342.99,241.09,298.35,295.374,395.544,303.899,247.542,294.928,312.414,299.601,386.188,345.506,309.443,298.669,315.488,271.889,399.221,314.269,325.512,121.431,81.198,318.2220000000001
383.209,449.998,351.537,387.984,336.757,401.116,448.362,321.154,234.363,329.879,279.013,370.321,325.102,282.713,316.132,328.623,305.619,397.47,386.446,297.102,299.599,271.11,299.87,296.683,338.794,310.267,113.271,91.14,319.7726428571428
384.464,429.397,369.301,427.559,356.48,382.072,426.859,333.224,234.357,293.244,308.571,387.581,317.732,276.712,291.447,318.481,299.114,402.741,359.124,300.976,306.109,298.622,295.287,298.236,308.102,320.044,95.508,62.672,317.2862857142857
