modified_index,P-FW1-TUE,P-FW2-TUE,P-FW3-TUE,P-FW4-TUE,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
16:00:00,2476.083,2806.24,3626.08,3682.014,3147.6042500000003,3216.16,2476.083,2879.3472857142856,2883.72406430703
16:15:00,2470.527,2786.192,3575.1,3629.189,3115.252,3180.6459999999997,2470.527,2879.3472857142856,2881.358094712735
16:30:00,2410.08,2782.887,3499.319,3518.162,3052.612,3141.103,2410.08,2879.3472857142856,2881.273761972175
16:45:00,2370.242,2819.584,3259.21,3351.273,2950.0772500000003,3039.397,2370.242,2879.3472857142856,2879.844796618446
17:00:00,2355.607,2767.767,3131.26,3233.1,2871.9335,2949.5135,2355.607,2870.4635,2877.8601095313848
17:15:00,2364.474,2783.217,3041.434,3211.436,2850.1402500000004,2912.3255,2364.474,2861.0418928571426,2861.9097463760445
17:30:00,2374.502,2759.97,3050.611,3220.457,2851.3849999999998,2905.2905,2374.502,2862.840857142857,2866.5386799288176
17:45:00,2312.051,2699.961,2986.247,3198.157,2799.1040000000003,2843.104,2312.051,2807.3810000000003,2803.9711415939123
18:00:00,2393.204,2796.226,3070.772,3302.457,2890.6647500000004,2933.499,2393.204,2880.50825,2890.3192377112414
18:15:00,2468.372,2936.573,3222.742,3393.532,3005.3047500000002,3079.6575000000003,2468.372,2896.90484375,2899.515658011193
18:30:00,2583.86,3117.76,3437.135,3586.137,3181.2230000000004,3277.4475,2583.86,2901.415678571428,2896.096440552334
18:45:00,2721.122,3227.831,3656.177,3804.426,3352.3889999999997,3442.004,2721.122,2901.415678571428,2908.0056738718717
19:00:00,2738.362,3329.575,3722.171,3877.797,3416.97625,3525.8729999999996,2738.362,2946.991972222222,2937.7349242691657
19:15:00,2792.467,3363.268,3778.803,3934.345,3467.22075,3571.0355,2792.467,3141.000533333333,3107.96284622855
19:30:00,2824.291,3395.887,3896.936,3986.622,3525.9339999999997,3646.4115,2824.291,3421.2907673611107,3411.0695180630596
19:45:00,2852.845,3454.279,3916.041,4029.683,3563.2120000000004,3685.16,2852.845,3681.611400641025,3678.6411318711653
20:00:00,2785.952,3469.821,3916.007,3992.08,3540.965,3692.9139999999998,2785.952,3256.8919891304345,3256.0180765856667
20:15:00,2782.534,3474.078,3974.443,4004.191,3558.8115,3724.2605000000003,2782.534,3043.26740625,3048.7590827483336
20:30:00,2786.887,3398.088,4006.027,3903.663,3523.66625,3650.8755,2786.887,3012.0371785714287,3004.9136474424213
20:45:00,2764.127,3402.412,4010.302,3943.612,3530.1132500000003,3673.0119999999997,2764.127,3012.0371785714287,3005.715465085961
21:00:00,2665.541,3470.301,3897.036,3876.402,3477.32,3673.3514999999998,2665.541,3012.0371785714287,3012.9023867124497
21:15:00,2621.762,3442.021,3803.549,3823.833,3422.79125,3622.785,2621.762,3012.0371785714287,3001.8299248462213
21:30:00,2591.51,3445.04,3763.949,3790.848,3397.83675,3604.4945,2591.51,3012.0371785714287,3000.477789610451
21:45:00,2603.164,3383.287,3713.88,3718.883,3354.8035,3548.5834999999997,2603.164,3012.0371785714287,2999.3747444348082
22:00:00,2562.581,3442.253,3624.402,3606.021,3308.8142500000004,3524.137,2562.581,3012.0371785714287,3002.05074264793
22:15:00,2505.413,3351.991,3563.341,3627.16,3261.97625,3457.666,2505.413,3012.0371785714287,3000.4487019308967
22:30:00,2429.223,3307.436,3560.675,3521.883,3204.8042499999997,3414.6594999999998,2429.223,3012.0371785714287,3002.241644574317
22:45:00,2348.684,3268.06,3392.858,3366.623,3094.05625,3317.3415,2348.684,2981.7315,2998.508573606311
23:00:00,2311.291,3184.786,3342.969,3329.773,3042.20475,3257.2795,2311.291,2980.754928571428,2994.4904646745767
23:15:00,2229.916,3105.421,3273.34,3246.727,2963.8509999999997,3176.0739999999996,2229.916,2981.998642857142,2991.495827165686
23:30:00,2205.329,3069.501,3215.391,3169.453,2914.9184999999998,3119.477,2205.329,2968.5054285714286,2887.950214046571
23:45:00,2185.684,3024.847,3157.792,3094.202,2865.6312500000004,3059.5245000000004,2185.684,2542.1445775862076,2539.6621107939673
