modified_index,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
05:30:00,339.9,357.871,327.364,265.929,283.35,261.497,308.454,328.684,217.817,134.653,225.874,233.593,263.24,246.184,226.086,231.426,257.453,238.461,261.572,303.376,252.59,259.824,263.168,246.98,217.444,269.5,0.89,87.747,8.642,-21.457,-7.11,37.927,74.671,185.777,293.202,293.833,285.47,298.307,232.161,283.163,242.369,218.994,267.66,309.423,300.924,237.657,251.584,272.989,223.13,228.57638775510205
05:45:00,311.31,341.903,338.909,276.533,248.3,288.852,314.696,282.341,209.504,158.953,219.847,213.63,263.439,210.636,217.194,255.624,242.783,249.69,252.743,288.136,238.727,234.102,273.433,248.948,261.661,307.598,36.896,4.559,-20.97,1.077,-14.952,57.328,53.0,200.667,301.389,311.359,279.587,290.902,218.468,298.321,286.937,235.684,271.938,346.38,314.382,238.826,276.146,252.939,236.913,229.12791836734695
06:00:00,306.117,320.132,308.454,311.021,251.963,274.283,319.142,289.501,232.792,164.989,216.952,240.114,285.704,214.628,230.588,249.388,281.292,254.146,268.144,312.478,234.626,279.449,250.84,253.789,253.481,247.022,37.228,34.998,35.036,-0.032,0.819,39.929,98.133,200.758,291.702,340.707,322.479,296.613,260.174,323.742,268.229,255.21,303.31,333.303,317.306,249.576,263.961,259.332,224.267,236.89418367346929
06:15:00,331.968,366.796,306.557,301.122,295.419,258.401,265.368,287.14,241.021,159.92,220.343,240.93,292.751,235.973,234.462,245.082,248.168,275.723,265.522,311.793,239.588,262.21,264.17,242.906,221.872,266.587,52.031,-17.389,30.867,6.957,-40.998,31.459,75.617,188.563,271.494,369.959,297.252,276.578,236.249,291.301,289.894,222.12,302.129,342.284,396.954,325.182,282.248,253.418,247.498,237.0093673469388
06:30:00,299.681,285.032,290.43,258.803,229.744,255.88,235.716,288.957,218.649,131.798,186.472,200.913,200.827,142.947,175.202,199.937,242.89,232.902,196.23,278.432,193.353,260.703,201.727,178.957,207.416,214.432,-2.347,-27.917,10.703,-23.231,-33.31,24.358,68.75,166.883,260.357,288.847,281.987,280.818,233.153,286.808,188.996,200.842,309.876,313.662,325.204,287.751,230.5,218.954,168.167,201.3845102040816
06:45:00,303.05,315.396,282.641,245.286,254.426,227.446,241.904,251.083,204.972,137.826,187.591,224.533,162.984,97.522,152.268,202.162,214.883,211.527,185.412,280.352,178.432,208.46,193.769,174.308,186.779,201.326,-7.072,-36.194,-15.367,-53.793,-7.202,39.336,56.198,153.831,243.174,282.478,233.023,247.938,218.401,281.95,196.646,152.853,272.757,332.526,311.466,251.334,238.647,154.293,122.212,187.66883673469385
07:00:00,309.897,337.679,329.146,250.452,229.941,229.263,235.649,294.418,166.419,144.084,164.696,225.336,154.513,83.864,167.859,183.744,205.012,209.063,198.184,255.11,163.866,183.317,178.398,152.431,209.97,213.257,-20.138,-19.792,-25.234,-64.744,-21.532,-14.121,99.341,156.332,242.492,246.05,218.262,268.069,215.49,284.776,199.917,132.14,251.956,304.793,270.576,215.323,236.228,131.973,128.986,181.89206122448982
07:15:00,281.852,332.437,360.828,296.976,245.592,237.464,250.146,269.25,198.938,168.127,236.206,241.333,178.262,126.111,226.728,199.267,250.612,231.614,265.887,308.195,175.25,220.611,198.581,208.918,215.832,261.957,-8.781,-36.646,-6.006,-13.826,-12.114,21.622,67.378,132.827,222.301,254.451,207.86,248.484,220.003,310.978,167.403,113.254,281.398,330.944,275.579,213.813,289.428,163.327,140.096,199.40299999999996
07:30:00,303.602,368.68,359.097,301.719,369.764,233.61,251.914,308.719,229.756,225.001,247.591,307.943,217.466,117.023,233.568,242.531,267.079,236.404,274.436,245.108,189.522,261.163,234.186,207.714,304.39,289.311,4.272,-19.714,-6.532,-19.517,1.382,12.744,106.438,140.922,223.486,248.776,187.209,304.447,225.208,310.433,196.949,146.48,289.103,338.451,366.009,251.978,277.556,156.41,138.382,218.53406122448976
07:45:00,320.193,417.171,416.937,344.517,445.58,275.288,285.233,351.263,272.194,210.008,284.197,323.316,221.201,136.17,334.773,263.487,317.242,294.236,323.33,283.678,195.926,289.842,310.548,247.296,341.824,277.652,23.951,-19.498,6.571,-17.866,-9.709,51.354,103.807,166.253,197.754,264.866,227.201,294.839,337.941,303.431,260.397,171.249,356.921,376.857,396.85,302.42,330.512,217.656,174.538,251.048918367347
08:00:00,403.274,458.94,477.144,390.203,495.314,308.656,282.66,439.211,347.872,290.557,423.16,341.56,287.576,147.298,415.162,343.186,353.466,342.466,390.786,300.33,201.592,334.231,381.318,318.13,373.212,408.654,23.751,-0.588,22.047,4.12,65.772,41.81,69.064,222.394,258.536,278.584,252.359,344.018,391.298,318.418,328.822,169.752,415.307,423.786,417.041,327.513,384.547,274.75,240.824,296.52822448979606
08:15:00,438.114,499.872,499.551,408.823,580.063,359.102,309.208,474.219,471.208,296.103,438.2,380.001,294.094,154.176,415.94,468.783,429.011,430.012,471.427,369.663,255.312,382.023,396.927,427.88,391.514,523.278,50.203,26.468,54.383,26.304,64.314,69.923,144.61,243.809,251.949,258.407,280.221,374.459,426.592,408.749,352.608,214.241,436.171,484.513,439.563,412.287,447.274,346.598,232.796,338.9988979591837
08:30:00,476.1,520.594,558.346,487.919,606.121,372.446,343.13,498.17,561.197,421.299,479.998,367.114,392.22,190.291,462.624,487.97,478.138,431.744,504.182,374.619,313.266,416.334,425.023,468.386,502.288,540.804,42.314,42.719,67.017,71.832,95.364,93.309,158.334,239.278,252.043,281.243,269.927,389.183,441.236,488.429,433.893,203.089,473.849,536.566,467.781,457.081,497.839,372.918,249.401,373.5707755102041
08:45:00,483.32,527.938,592.782,494.284,594.996,478.389,351.489,539.417,444.976,511.862,512.593,380.294,392.528,220.11,448.753,481.042,571.847,453.319,532.061,416.279,302.369,433.092,472.704,502.832,566.82,546.053,36.731,51.868,98.413,147.464,106.879,128.529,150.924,215.236,255.472,253.65,274.438,395.467,461.944,547.196,397.212,217.077,546.231,564.15,559.689,515.97,533.612,390.38,280.382,395.5318979591839
09:00:00,490.143,579.31,608.882,511.421,634.836,484.91,348.944,568.527,472.313,568.828,553.689,452.067,387.379,218.777,478.647,518.922,578.878,494.666,538.067,412.603,310.741,442.082,572.296,474.987,569.613,569.961,106.31,47.984,127.512,140.359,136.47,208.124,172.26,240.488,366.304,261.799,290.409,420.379,468.011,560.416,421.969,227.869,533.886,589.284,568.4,520.228,535.107,429.272,285.773,418.3694285714285
09:15:00,554.449,567.476,603.626,516.632,652.961,526.943,327.1,588.676,498.743,552.066,608.962,515.94,413.293,226.092,464.481,616.113,610.483,519.644,533.98,426.679,291.659,526.656,609.531,496.57,607.369,565.018,108.211,69.501,182.943,169.443,143.911,229.046,184.618,233.828,388.79,313.72,262.041,418.377,486.313,547.653,404.616,305.61,530.104,585.379,615.492,527.566,588.088,428.124,315.877,437.9672040816324
09:30:00,639.092,588.868,631.23,507.226,686.837,528.256,334.384,591.486,541.952,609.461,575.078,513.1,447.138,240.557,507.558,648.377,627.403,514.497,574.704,525.663,323.746,586.529,609.599,524.694,598.257,576.494,123.234,62.099,182.494,166.453,180.8,225.068,205.756,261.958,356.672,312.569,257.759,403.157,496.53,533.394,403.21,309.398,569.519,585.203,623.661,566.718,579.193,451.864,359.181,454.4505306122449
09:45:00,643.768,575.628,615.637,498.252,687.274,548.88,333.038,630.263,560.948,598.549,588.601,536.087,446.533,267.392,584.52,611.508,626.73,478.636,598.363,535.769,314.111,592.946,593.243,623.559,565.521,551.207,123.64,77.904,159.682,128.773,203.862,228.42,207.231,275.65,332.744,341.588,272.348,408.867,533.968,573.097,414.379,348.299,605.669,606.729,606.096,538.25,569.152,459.141,304.358,459.73081632653066
10:00:00,643.237,630.332,619.606,543.744,668.847,526.452,365.694,610.709,582.881,579.089,606.999,542.854,500.908,274.192,595.117,626.931,630.022,513.831,597.979,547.711,307.179,570.854,559.63,605.06,550.614,558.616,143.979,86.56,163.558,166.913,209.386,238.742,215.486,293.694,369.524,314.862,362.524,422.272,552.84,572.63,444.686,355.417,578.444,589.353,616.166,556.469,599.723,476.986,333.139,469.84573469387766
10:15:00,633.692,619.248,592.972,530.882,682.704,547.047,440.963,642.386,562.927,575.302,583.164,533.138,488.268,313.224,605.682,611.519,629.454,527.73,608.634,516.293,349.879,574.871,575.058,606.926,550.519,544.066,143.347,92.529,163.353,169.292,213.934,219.318,196.799,325.912,352.837,333.337,367.986,418.08,568.426,590.874,454.507,367.0,600.327,590.221,595.954,569.63,609.819,528.681,343.318,474.73528571428585
10:30:00,651.34,626.857,604.129,557.771,701.777,562.246,424.456,662.771,592.494,589.904,613.917,548.151,522.243,310.473,626.713,589.706,638.616,538.833,604.106,523.622,358.271,577.849,592.496,618.968,603.514,597.474,139.392,97.48,185.196,160.589,218.879,215.294,192.274,377.893,335.091,335.04,384.748,375.897,572.88,593.818,494.402,408.143,635.513,596.789,659.324,618.243,616.367,574.224,369.448,489.7065510204081
10:45:00,664.809,633.626,595.044,559.503,710.23,637.036,426.118,682.072,582.517,580.729,586.233,526.472,555.846,294.198,638.353,607.321,633.058,494.922,563.558,533.431,365.919,582.426,584.117,615.836,631.011,585.644,132.483,129.699,192.598,165.792,220.539,219.552,216.322,370.514,360.133,357.0,348.773,351.496,536.451,584.156,524.223,412.406,645.363,603.664,656.698,647.897,612.008,565.899,382.841,491.97012244897974
11:00:00,736.483,640.121,664.754,563.376,731.019,639.911,421.589,660.991,611.769,611.722,572.146,540.586,578.43,279.144,640.054,646.947,625.758,496.73,584.256,548.852,338.382,582.36,589.397,623.51,646.243,609.252,161.167,63.051,188.641,162.287,191.85,233.504,216.027,409.654,332.278,349.988,361.639,429.527,602.737,605.388,482.021,369.107,684.374,616.262,674.503,622.707,624.617,598.317,354.767,500.37132653061207
