modified_index,P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,Euclidean Barycenter,Median Barycenter,Modal Barycenter,DTW Barycenter,SDTW Barycenter-G1.0
16:30:00,3518.773,3334.878,3425.021,3498.369,3444.2602500000003,3461.695,3518.773,3482.109204545455,3481.729749103379
16:45:00,3285.987,3198.537,3341.253,3319.849,3286.4065,3302.918,3285.987,3304.3544375000006,3303.9650155732966
17:00:00,3177.694,3086.481,3185.11,3277.557,3181.7105,3181.402,3177.694,3176.822785714286,3176.8574083446056
17:15:00,3118.917,3057.622,3132.456,3135.612,3111.15175,3125.6865,3118.917,3118.4601785714285,3118.426749065994
17:30:00,3106.037,3034.302,3016.761,3037.391,3048.62275,3035.8465,3106.037,3055.32740625,3055.3101695564164
17:45:00,3112.75,3010.566,3088.047,3053.648,3066.2527499999997,3070.8475,3112.75,3073.5516071428565,3073.5516071428606
18:00:00,3208.772,3126.288,3127.839,3130.187,3148.2715,3129.013,3208.772,3154.163214285714,3154.163214285717
18:15:00,3368.754,3338.796,3241.553,3207.25,3289.08825,3290.1745,3368.754,3300.62425,3300.62425000001
18:30:00,3545.549,3523.242,3452.353,3436.017,3489.29025,3487.7975,3545.549,3502.34484375,3502.214675132242
18:45:00,3628.865,3538.961,3602.484,3581.699,3588.00225,3592.0915,3628.865,3607.511964285714,3607.405838724585
19:00:00,3674.599,3630.577,3652.867,3630.068,3647.02775,3641.722,3674.599,3635.2236785714285,3635.345184883281
19:15:00,3720.168,3617.151,3693.687,3688.47,3679.8689999999997,3691.0784999999996,3720.168,3684.7343571428573,3684.567940233377
19:30:00,3708.692,3690.838,3760.043,3698.533,3714.5265,3703.6125,3708.692,3706.9392857142857,3706.9939383702963
19:45:00,3747.851,3697.88,3754.882,3682.093,3720.6764999999996,3722.8655,3747.851,3704.862571428571,3704.4600668624394
20:00:00,3746.875,3697.332,3808.337,3759.008,3752.888,3752.9415,3746.875,3750.7181875,3750.750996112232
20:15:00,3723.316,3730.281,3822.051,3794.151,3767.4497499999998,3762.216,3723.316,3774.222340909091,3773.4089199707128
20:30:00,3720.132,3680.254,3802.528,3772.484,3743.8495000000003,3746.308,3720.132,3731.899071428571,3731.9713469946787
20:45:00,3677.517,3690.789,3717.972,3763.198,3712.369,3704.3805,3677.517,3704.9696428571424,3704.98500340123
21:00:00,3675.06,3672.233,3765.267,3738.251,3712.70275,3706.6555,3675.06,3693.234925,3693.931831628988
21:15:00,3588.314,3559.88,3636.378,3679.548,3616.0299999999997,3612.346,3588.314,3593.3332222222216,3594.077082471432
21:30:00,3590.048,3507.543,3505.332,3558.641,3540.391,3533.092,3590.048,3541.8902857142857,3541.927194974174
21:45:00,3547.948,3489.611,3503.877,3445.604,3496.7599999999998,3496.7439999999997,3547.948,3486.327125,3486.7686577243976
22:00:00,3475.239,3421.522,3420.16,3367.516,3421.10925,3420.841,3475.239,3423.270321428571,3423.3151898738743
22:15:00,3416.828,3379.054,3344.98,3313.158,3363.5049999999997,3362.017,3416.828,3368.953714285714,3368.969577054599
22:30:00,3382.802,3307.416,3288.017,3267.838,3311.51825,3297.7165,3382.802,3318.90846875,3318.92891138094
22:45:00,3253.669,3212.808,3146.584,3190.377,3200.8595,3201.5924999999997,3253.669,3208.5084285714283,3208.5084285714283
23:00:00,3135.095,3119.631,3097.041,3088.021,3109.947,3108.3360000000002,3135.095,3109.6095555555553,3109.7606828340267
23:15:00,3096.66,3015.111,2983.529,3070.956,3041.564,3043.0335,3096.66,3020.571071428571,3018.9253757645592
23:30:00,2994.902,2927.845,2906.658,2950.999,2945.1009999999997,2939.4219999999996,2994.902,2952.053714285714,2952.048447160687
23:45:00,2958.74,2897.188,2831.575,2904.348,2897.96275,2900.768,2958.74,2906.99746875,2906.9986755445543
