modified_index,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN,Euclidean Barycenter
18:30:00,393.146,418.567,383.73,406.187,406.934,468.213,441.239,416.85942857142857
18:45:00,487.661,455.267,429.041,462.472,456.856,514.58,485.21,470.1552857142857
19:00:00,478.072,433.943,434.493,472.824,471.973,515.526,456.851,466.24028571428573
19:15:00,475.437,434.362,404.787,450.169,456.621,495.332,452.71,452.774
19:30:00,467.998,473.162,423.409,457.371,462.547,506.502,428.931,459.98857142857145
19:45:00,479.553,468.532,439.523,505.809,463.186,510.561,445.708,473.26742857142864
20:00:00,471.949,480.459,365.117,516.366,463.357,488.324,436.666,460.3197142857143
20:15:00,484.546,471.307,380.571,487.42,456.623,433.61,458.41,453.2124285714286
20:30:00,449.949,486.434,437.396,459.052,465.512,422.589,433.17,450.58600000000007
20:45:00,460.469,475.512,474.807,427.109,441.857,434.344,425.262,448.48
21:00:00,452.069,467.784,485.578,415.634,405.484,463.109,400.37,441.4325714285714
21:15:00,400.352,476.944,440.007,443.07,451.129,458.766,434.918,443.598
21:30:00,432.3,478.618,460.357,437.7,454.087,456.581,439.25,451.27042857142857
21:45:00,404.663,470.372,476.372,442.133,441.492,424.589,412.84,438.92300000000006
22:00:00,432.992,468.367,451.072,449.69,470.34,445.213,434.463,450.3052857142858
22:15:00,401.243,461.406,411.903,412.888,421.423,466.258,409.497,426.37399999999997
22:30:00,437.41,468.147,434.439,436.801,458.069,387.978,428.061,435.84357142857147
22:45:00,428.177,458.342,405.966,370.138,432.788,379.374,431.024,415.1155714285714
23:00:00,404.998,429.289,399.441,402.329,432.713,388.163,436.942,413.4107142857143
23:15:00,402.866,437.859,422.924,394.316,392.356,381.604,395.254,403.88271428571426
23:30:00,382.556,431.856,381.232,415.39,356.797,369.096,352.923,384.2642857142858
23:45:00,402.878,399.537,374.766,309.569,381.963,362.448,349.737,368.6997142857143
