P-JW1-MON,P-JW1-TUE,P-JW1-WED,P-JW1-THU,P-JW1-FRI,P-JW1-SAT,P-JW1-SUN,P-JW2-MON,P-JW2-TUE,P-JW2-WED,P-JW2-THU,P-JW2-FRI,P-JW2-SAT,P-JW2-SUN,P-JW3-MON,P-JW3-TUE,P-JW3-WED,P-JW3-THU,P-JW3-FRI,P-JW3-SAT,P-JW3-SUN,P-JW4-MON,P-JW4-TUE,P-JW4-WED,P-JW4-THU,P-JW4-FRI,P-JW4-SAT,P-JW4-SUN,Euclidean Barycenter
13385.061,13131.939,12995.636,12846.862,13021.644,11310.304,10834.583,12827.186,12831.209,12633.831,12825.598,13120.752,10431.66,12577.714,12824.842,12495.544,13263.14,12846.091,12997.241,11462.976,10629.267,12730.227,12755.335,12922.158,13096.333,12740.692,11584.049,8990.05,12361.140142857143
13298.447,13177.034,12759.983,12821.529,12941.519,11435.837,10697.862,12619.917,12601.748,12594.116,12695.583,13315.649,10715.997,12757.048,12844.633,12768.208,12936.841,12766.292,13092.49,11234.935,10838.349,12602.602,12584.412,12720.039,12952.457,12608.317,9201.562,8846.727,12229.647607142853
13316.277,12948.876,12763.669,12571.37,13003.223,11595.319,10889.276,12709.458,12456.27,12527.59,12822.179,13170.49,10842.026,13073.098,12717.278,12525.968,12690.961,12567.297,13070.674,11377.33,11104.838,12437.58,12536.113,12615.063,12685.398,12604.1,7943.707,9168.922,12169.083928571428
13103.147,13102.078,12669.276,12675.787,12923.262,12062.633,11248.326,12652.539,12449.323,12287.337,12637.683,13088.708,11205.581,13212.107,12643.311,12356.346,12829.907,12462.466,12920.876,11637.731,11366.837,12360.169,12563.496,12618.469,12724.947,12575.608,8158.959,9165.462,12203.656107142855
13200.38,12753.522,12619.946,12659.463,12893.377,12255.797,11412.584,12648.114,12468.445,12353.032,12364.534,12856.444,11555.513,13572.496,12813.934,12387.154,12627.759,12440.715,12784.458,11709.573,11439.019,12358.041,12565.753,12499.835,12752.611,12429.193,8271.084,9343.062,12215.565642857142
13264.099,12989.083,12638.078,9204.933,12984.685,12362.448,11498.817,12377.15,12637.991,12023.433,12565.753,12920.965,11807.374,13968.748,12639.732,12496.884,12736.048,12413.556,13027.977,11811.541,11753.983,12293.905,12697.483,12733.34,12671.04,12646.699,8616.744,9586.379,12191.745285714289
13388.989,13176.411,12793.565,12935.268,13131.996,12615.955,11824.654,12719.532,9563.521,12108.352,12842.792,12944.156,12526.373,14207.61,12702.139,12502.932,12876.258,12526.658,12935.132,12427.674,12053.512,12505.164,12762.643,12723.938,12608.265,12887.868,8854.261,9727.517,12388.32625
13577.613,13327.9,12933.616,12863.225,13308.406,12924.039,11976.197,12944.077,9567.377,12710.999,13018.875,13097.501,12773.292,14713.763,12749.505,12768.989,13038.288,12709.854,13194.952,12719.614,12182.273,12932.384,12866.408,12865.51,12956.686,13158.809,10250.84,9927.736,12644.954571428572
13705.708,13435.424,13289.64,13083.569,13550.269,13254.389,12019.806,13116.634,9727.939,12811.413,13164.062,13260.317,12727.878,14790.248,12841.242,12889.287,13464.626,12887.267,13226.774,12924.243,12436.879,13111.037,13038.031,13060.402,12974.879,13435.02,10449.727,10025.525,12810.794107142861
13864.339,13918.138,13505.847,13235.264,13632.416,13328.749,12483.102,13435.462,9780.206,13118.31,13478.07,13738.911,13050.854,15089.494,12859.865,13412.508,13766.181,13107.983,13527.111,12972.503,12689.937,13345.449,13545.012,13336.878,13545.744,13653.821,10806.396,10339.747,13091.724892857144
