Timestamp,Times,S total_SJN,P total_SJN,Q total_SJN,pf total_SJN
2016-Feb-24 05:45:00.000,45:00.0,2786.647,2771.491,289.687,-99.456
2016-Feb-24 05:30:00.000,30:00.0,2718.003,2702.994,284.379,-99.449
2016-Feb-24 05:15:00.000,15:00.0,2655.028,2640.056,281.084,-99.435
2016-Feb-24 05:00:00.000,00:00.0,2673.184,2655.463,306.693,-99.337
2016-Feb-24 04:45:00.000,45:00.0,2617.456,2600.047,300.622,-99.336
2016-Feb-24 04:30:00.000,30:00.0,2593.425,2573.733,318.329,-99.241
2016-Feb-24 04:15:00.000,15:00.0,2567.109,2548.208,310.122,-99.264
2016-Feb-24 04:00:00.000,00:00.0,2547.629,2529.35,303.792,-99.284
2016-Feb-24 03:45:00.000,45:00.0,2551.759,2534.242,297.678,-99.315
2016-Feb-24 03:30:00.000,30:00.0,2576.375,2559.483,293.89,-99.344
2016-Feb-24 03:15:00.000,15:00.0,2593.847,2575.922,303.479,-99.311
2016-Feb-24 03:00:00.000,00:00.0,2578.784,2562.537,288.319,-99.371
2016-Feb-24 02:45:00.000,45:00.0,2612.59,2593.319,315.111,-99.265
2016-Feb-24 02:30:00.000,30:00.0,2652.753,2633.022,322.203,-99.256
2016-Feb-24 02:15:00.000,15:00.0,2673.125,2653.208,324.84,-99.256
2016-Feb-24 02:00:00.000,00:00.0,2700.867,2682.201,315.814,-99.31
2016-Feb-24 01:45:00.000,45:00.0,2783.083,2755.851,387.499,-99.022
2016-Feb-24 01:30:00.000,30:00.0,2833.564,2804.375,404.756,-98.97
2016-Feb-24 01:15:00.000,15:00.0,2786.708,2763.194,360.702,-99.157
2016-Feb-24 01:00:00.000,00:00.0,2838.232,2812.501,380.806,-99.093
2016-Feb-24 00:45:00.000,45:00.0,2895.781,2867.238,404.761,-99.016
2016-Feb-24 00:30:00.000,30:00.0,2929.741,2902.727,395.952,-99.08
2016-Feb-24 00:15:00.000,15:00.0,2951.68,2927.728,374.086,-99.191
2016-Feb-24 00:00:00.000,00:00.0,3012.399,2989.704,368.064,-99.249
2016-Feb-23 23:45:00.000,45:00.0,3122.865,3094.202,420.842,-99.085
2016-Feb-23 23:30:00.000,30:00.0,3197.331,3169.453,420.169,-99.13
2016-Feb-23 23:15:00.000,15:00.0,3277.751,3246.727,448.62,-99.056
2016-Feb-23 23:00:00.000,00:00.0,3360.861,3329.773,455.149,-99.077
2016-Feb-23 22:45:00.000,45:00.0,3394.554,3366.623,433.454,-99.179
2016-Feb-23 22:30:00.000,30:00.0,3550.089,3521.883,445.576,-99.207
2016-Feb-23 22:15:00.000,15:00.0,3655.895,3627.16,456.246,-99.216
2016-Feb-23 22:00:00.000,00:00.0,3632.371,3606.021,435.53,-99.276
2016-Feb-23 21:45:00.000,45:00.0,3745.044,3718.883,440.667,-99.303
2016-Feb-23 21:30:00.000,30:00.0,3815.082,3790.848,427.822,-99.367
2016-Feb-23 21:15:00.000,15:00.0,3851.33,3823.833,458.068,-99.288
2016-Feb-23 21:00:00.000,00:00.0,3901.951,3876.402,444.602,-99.347
2016-Feb-23 20:45:00.000,45:00.0,3970.663,3943.612,461.562,-99.321
2016-Feb-23 20:30:00.000,30:00.0,3930.276,3903.663,454.613,-99.325
2016-Feb-23 20:15:00.000,15:00.0,4036.042,4004.191,504.987,-99.212
2016-Feb-23 20:00:00.000,00:00.0,4023.726,3992.08,502.539,-99.215
2016-Feb-23 19:45:00.000,45:00.0,4063.033,4029.683,518.483,-99.181
2016-Feb-23 19:30:00.000,30:00.0,4018.829,3986.622,506.749,-99.2
2016-Feb-23 19:15:00.000,15:00.0,3968.121,3934.345,515.39,-99.151
2016-Feb-23 19:00:00.000,00:00.0,3910.611,3877.797,504.569,-99.163
2016-Feb-23 18:45:00.000,45:00.0,3839.283,3804.426,515.018,-99.094
2016-Feb-23 18:30:00.000,30:00.0,3614.671,3586.137,452.014,-99.213
2016-Feb-23 18:15:00.000,15:00.0,3420.712,3393.532,429.271,-99.207
2016-Feb-23 18:00:00.000,00:00.0,3327.433,3302.457,405.754,-99.251
2016-Feb-23 17:45:00.000,45:00.0,3227.155,3198.157,430.399,-99.102
2016-Feb-23 17:30:00.000,30:00.0,3253.958,3220.457,464.757,-98.972
2016-Feb-23 17:15:00.000,15:00.0,3248.937,3211.436,491.032,-98.849
2016-Feb-23 17:00:00.000,00:00.0,3271.73,3233.1,500.247,-98.821
2016-Feb-23 16:45:00.000,45:00.0,3395.494,3351.273,545.111,-98.701
2016-Feb-23 16:30:00.000,30:00.0,3565.149,3518.162,575.106,-98.683
2016-Feb-23 16:15:00.000,15:00.0,3685.982,3629.189,643.632,-98.461
2016-Feb-23 16:00:00.000,00:00.0,3737.567,3682.014,641.139,-98.515
2016-Feb-23 15:45:00.000,45:00.0,3834.178,3774.94,670.424,-98.458
2016-Feb-23 15:30:00.000,30:00.0,3824.891,3762.666,685.959,-98.376
2016-Feb-23 15:15:00.000,15:00.0,3799.692,3739.447,672.831,-98.417
2016-Feb-23 15:00:00.000,00:00.0,3867.082,3795.762,738.201,-98.159
2016-Feb-23 14:45:00.000,45:00.0,3877.284,3805.828,740.102,-98.158
2016-Feb-23 14:30:00.000,30:00.0,3867.417,3797.462,731.252,-98.194
2016-Feb-23 14:15:00.000,15:00.0,3929.381,3857.619,746.603,-98.176
2016-Feb-23 14:00:00.000,00:00.0,3923.207,3852.122,742.516,-98.191
2016-Feb-23 13:45:00.000,45:00.0,3899.541,3829.637,734.043,-98.209
2016-Feb-23 13:30:00.000,30:00.0,3880.17,3807.385,747.011,-98.128
2016-Feb-23 13:15:00.000,15:00.0,3836.308,3776.125,675.748,-98.434
2016-Feb-23 13:00:00.000,00:00.0,3845.813,3784.54,682.658,-98.41
2016-Feb-23 12:45:00.000,45:00.0,3826.68,3766.86,672.862,-98.44
2016-Feb-23 12:30:00.000,30:00.0,3787.688,3728.963,663.549,-98.451
2016-Feb-23 12:15:00.000,15:00.0,3785.573,3721.214,694.037,-98.303
2016-Feb-23 12:00:00.000,00:00.0,3753.767,3686.993,703.746,-98.226
2016-Feb-23 11:45:00.000,45:00.0,3715.852,3654.179,673.277,-98.343
2016-Feb-23 11:30:00.000,30:00.0,3706.696,3643.943,678.379,-98.308
2016-Feb-23 11:15:00.000,15:00.0,3711.325,3646.102,691.849,-98.245
2016-Feb-23 11:00:00.000,00:00.0,3585.564,3527.345,642.688,-98.378
2016-Feb-23 10:45:00.000,45:00.0,3518.254,3463.65,616.537,-98.449
2016-Feb-23 10:30:00.000,30:00.0,3516.772,3464.258,603.888,-98.51
2016-Feb-23 10:15:00.000,15:00.0,3587.56,3530.042,638.851,-98.4
2016-Feb-23 10:00:00.000,00:00.0,3450.172,3399.14,590.29,-98.523
2016-Feb-23 09:45:00.000,45:00.0,3419.314,3368.232,587.899,-98.508
2016-Feb-23 09:30:00.000,30:00.0,3309.771,3265.158,540.364,-98.656
2016-Feb-23 09:15:00.000,15:00.0,3343.987,3295.546,564.558,-98.556
2016-Feb-23 09:00:00.000,00:00.0,3269.293,3226.511,526.086,-98.694
2016-Feb-23 08:45:00.000,45:00.0,3171.766,3128.297,522.303,-98.63
2016-Feb-23 08:30:00.000,30:00.0,3129.818,3089.604,498.674,-98.719
2016-Feb-23 08:15:00.000,15:00.0,3016.23,2982.9,445.333,-98.9
2016-Feb-23 08:00:00.000,00:00.0,2942.847,2916.243,393.294,-99.099
2016-Feb-23 07:45:00.000,45:00.0,2892.323,2874.184,322.646,-99.374
2016-Feb-23 07:30:00.000,30:00.0,2925.042,2907.388,319.638,-99.399
2016-Feb-23 07:15:00.000,15:00.0,2872.963,2860.286,268.249,-99.561
2016-Feb-23 07:00:00.000,00:00.0,2844.673,2833.533,251.057,-99.608
2016-Feb-23 06:45:00.000,45:00.0,2873.6,2863.835,235.704,-99.661
2016-Feb-23 06:30:00.000,30:00.0,2931.571,2915.222,307.323,-99.445
2016-Feb-23 06:15:00.000,15:00.0,2877.328,2860.044,313.753,-99.401
2016-Feb-23 06:00:00.000,00:00.0,2808.392,2791.968,302.603,-99.415
2016-Feb-23 05:45:00.000,45:00.0,2760.314,2743.436,303.842,-99.39
2016-Feb-23 05:30:00.000,30:00.0,2717.476,2699.241,313.791,-99.328
2016-Feb-23 05:15:00.000,15:00.0,2670.499,2647.556,348.486,-99.14
2016-Feb-23 05:00:00.000,00:00.0,2664.226,2637.729,373.947,-99.007
2016-Feb-23 04:45:00.000,45:00.0,2635.226,2611.13,354.777,-99.087
2016-Feb-23 04:30:00.000,30:00.0,2598.841,2573.46,361.582,-99.025
2016-Feb-23 04:15:00.000,15:00.0,2576.719,2556.749,319.51,-99.225
2016-Feb-23 04:00:00.000,00:00.0,2578.8,2558.957,318.958,-99.23
2016-Feb-23 03:45:00.000,45:00.0,2583.13,2564.633,308.002,-99.284
2016-Feb-23 03:30:00.000,30:00.0,2618.934,2598.222,328.038,-99.209
2016-Feb-23 03:15:00.000,15:00.0,2656.231,2633.652,344.733,-99.151
2016-Feb-23 03:00:00.000,00:00.0,2638.635,2618.609,323.812,-99.242
2016-Feb-23 02:45:00.000,45:00.0,2708.827,2686.202,348.643,-99.165
2016-Feb-23 02:30:00.000,30:00.0,2720.108,2698.641,340.317,-99.211
2016-Feb-23 02:15:00.000,15:00.0,2736.873,2714.156,351.429,-99.17
2016-Feb-23 02:00:00.000,00:00.0,2763.097,2740,356.118,-99.164
2016-Feb-23 01:45:00.000,45:00.0,2778.817,2753.206,375.756,-99.079
2016-Feb-23 01:30:00.000,30:00.0,2774.552,2753.696,338.377,-99.249
2016-Feb-23 01:15:00.000,15:00.0,2818.02,2792.661,376.544,-99.101
2016-Feb-23 01:00:00.000,00:00.0,2876.238,2847.615,403.924,-99.006
2016-Feb-23 00:45:00.000,45:00.0,2942.009,2910.064,431.434,-98.915
2016-Feb-23 00:30:00.000,30:00.0,2969.723,2937.61,434.244,-98.922
2016-Feb-23 00:15:00.000,15:00.0,3001.494,2973.771,405.862,-99.079
2016-Feb-23 00:00:00.000,00:00.0,3068.062,3040.168,411.764,-99.093
2016-Feb-22 23:45:00.000,45:00.0,3147.125,3117.757,428.02,-99.068
2016-Feb-22 23:30:00.000,30:00.0,3189.341,3161.048,422.828,-99.115
2016-Feb-22 23:15:00.000,15:00.0,3314.133,3284.675,439.943,-99.113
2016-Feb-22 23:00:00.000,00:00.0,3352.786,3323.701,439.352,-99.135
2016-Feb-22 22:45:00.000,45:00.0,3365.503,3341.167,402.934,-99.279
2016-Feb-22 22:30:00.000,30:00.0,3501.282,3475.506,422.832,-99.266
2016-Feb-22 22:15:00.000,15:00.0,3550.709,3526.927,409.273,-99.331
2016-Feb-22 22:00:00.000,00:00.0,3666.641,3639.97,439.958,-99.275
2016-Feb-22 21:45:00.000,45:00.0,3695.062,3667.547,449.181,-99.257
2016-Feb-22 21:30:00.000,30:00.0,3778.01,3749.108,465.467,-99.237
2016-Feb-22 21:15:00.000,15:00.0,3862.871,3835.244,459.76,-99.288
2016-Feb-22 21:00:00.000,00:00.0,3917.128,3886.483,487.743,-99.219
2016-Feb-22 20:45:00.000,45:00.0,3921.034,3889.254,497.161,-99.191
2016-Feb-22 20:30:00.000,30:00.0,3971.077,3938.482,506.437,-99.182
2016-Feb-22 20:15:00.000,15:00.0,3954.382,3923.113,495.158,-99.211
2016-Feb-22 20:00:00.000,00:00.0,3954.419,3921.194,510.497,-99.161
2016-Feb-22 19:45:00.000,45:00.0,4031.953,3996.33,533.92,-99.118
2016-Feb-22 19:30:00.000,30:00.0,3920.934,3886.461,517.814,-99.122
2016-Feb-22 19:15:00.000,15:00.0,3883.112,3849.774,506.486,-99.144
2016-Feb-22 19:00:00.000,00:00.0,3816.817,3784.266,496.4,-99.149
2016-Feb-22 18:45:00.000,45:00.0,3746.861,3708.964,530.227,-98.991
2016-Feb-22 18:30:00.000,30:00.0,3498.459,3468.862,452.877,-99.157
2016-Feb-22 18:15:00.000,15:00.0,3335.764,3309.4,417.472,-99.212
2016-Feb-22 18:00:00.000,00:00.0,3279.324,3253.764,407.523,-99.223
2016-Feb-22 17:45:00.000,45:00.0,3178.332,3149.951,422.79,-99.109
2016-Feb-22 17:30:00.000,30:00.0,3182.827,3149.791,456.342,-98.964
2016-Feb-22 17:15:00.000,15:00.0,3184.883,3153.202,447.164,-99.007
2016-Feb-22 17:00:00.000,00:00.0,3301.329,3263.319,498.046,-98.853
2016-Feb-22 16:45:00.000,45:00.0,3473.571,3428.29,558.138,-98.698
2016-Feb-22 16:30:00.000,30:00.0,3648.211,3593.764,627.114,-98.508
2016-Feb-22 16:15:00.000,15:00.0,3747.567,3690.756,649.106,-98.486
2016-Feb-22 16:00:00.000,00:00.0,3831.191,3774.274,656.693,-98.518
2016-Feb-22 15:45:00.000,45:00.0,3855.418,3796.206,672.042,-98.466
2016-Feb-22 15:30:00.000,30:00.0,3808.961,3756.762,627.642,-98.632
2016-Feb-22 15:15:00.000,15:00.0,3861.019,3802.413,669.066,-98.484
2016-Feb-22 15:00:00.000,00:00.0,3905.313,3843.65,690.296,-98.423
2016-Feb-22 14:45:00.000,45:00.0,3902.23,3842.655,678.441,-98.475
2016-Feb-22 14:30:00.000,30:00.0,3871.678,3814.756,660.538,-98.532
2016-Feb-22 14:15:00.000,15:00.0,3834.523,3776.175,665.559,-98.48
2016-Feb-22 14:00:00.000,00:00.0,3809.405,3752.813,653.268,-98.517
2016-Feb-22 13:45:00.000,45:00.0,3821.363,3761.956,670.116,-98.448
2016-Feb-22 13:30:00.000,30:00.0,3811.972,3754.611,657.919,-98.497
2016-Feb-22 13:15:00.000,15:00.0,3743.658,3687.258,646.518,-98.495
2016-Feb-22 13:00:00.000,00:00.0,3802.399,3742.304,672.439,-98.421
2016-Feb-22 12:45:00.000,45:00.0,3784.941,3724.348,673.686,-98.401
2016-Feb-22 12:30:00.000,30:00.0,3788.223,3726.152,682.069,-98.363
2016-Feb-22 12:15:00.000,15:00.0,3731.807,3672.825,659.998,-98.421
2016-Feb-22 12:00:00.000,00:00.0,3727.698,3665.487,677.257,-98.333
2016-Feb-22 11:45:00.000,45:00.0,3735.438,3673.23,678.107,-98.336
2016-Feb-22 11:30:00.000,30:00.0,3740.323,3675.378,693.049,-98.266
2016-Feb-22 11:15:00.000,15:00.0,3730.262,3663.756,700.55,-98.22
2016-Feb-22 11:00:00.000,00:00.0,3675.358,3609.718,690.671,-98.215
2016-Feb-22 10:45:00.000,45:00.0,3651.038,3583.9,696.093,-98.163
2016-Feb-22 10:30:00.000,30:00.0,3595.569,3529.733,683.831,-98.173
2016-Feb-22 10:15:00.000,15:00.0,3565.813,3503.584,661.948,-98.256
2016-Feb-22 10:00:00.000,00:00.0,3477.317,3423.003,611.213,-98.44
2016-Feb-22 09:45:00.000,45:00.0,3417.818,3363.521,605.642,-98.414
2016-Feb-22 09:30:00.000,30:00.0,3379.299,3326.859,591.127,-98.452
2016-Feb-22 09:15:00.000,15:00.0,3317.679,3272.683,543.476,-98.646
2016-Feb-22 09:00:00.000,00:00.0,3264.939,3219.929,539.33,-98.624
2016-Feb-22 08:45:00.000,45:00.0,3200.407,3158.587,514.641,-98.695
2016-Feb-22 08:30:00.000,30:00.0,3043.342,3005.947,473.682,-98.777
2016-Feb-22 08:15:00.000,15:00.0,2952.41,2923.492,411.034,-99.023
2016-Feb-22 08:00:00.000,00:00.0,2834.469,2815.508,325.388,-99.332
2016-Feb-22 07:45:00.000,45:00.0,2832.578,2816.085,303.961,-99.42
2016-Feb-22 07:30:00.000,30:00.0,2842.922,2828.196,288.181,-99.483
2016-Feb-22 07:15:00.000,15:00.0,2808.865,2797.33,253.611,-99.589
