,P-FW2-MON,P-FW2-TUE,P-FW2-WED,P-FW2-THU,P-FW2-FRI,P-FW2-SAT,P-FW2-SUN
06:30:00,8961.308,9113.561,10798.622,11355.592,11404.68,9270.47,9221.254
06:45:00,8997.707,9008.472,10807.875,11193.081,11422.689,9343.292,9244.158
07:00:00,8801.862,8990.424,10916.381,11206.541,11286.187,9471.794,9238.711
07:15:00,8906.615,9048.881,10986.401,11194.289,11312.757,9641.781,9257.04
07:30:00,8969.861,9130.626,10978.296,11064.775,11359.507,9797.401,9583.18
07:45:00,9092.299,9259.245,11050.974,11336.182,11275.896,10181.174,9628.507
08:00:00,9233.807,9442.283,11417.956,11586.889,11509.355,10554.916,9847.592
08:15:00,9495.839,9634.202,11719.804,11668.729,11797.033,10923.762,9933.269
08:30:00,9721.574,9989.297,11859.337,12055.745,12169.178,11209.471,10315.73
08:45:00,9841.406,10178.64,12000.217,12117.241,12350.745,11334.216,10516.652
09:00:00,10065.159,10261.673,12303.195,12353.811,12533.058,11538.996,10837.354
09:15:00,10381.767,10410.638,12538.191,12498.776,12561.556,11644.024,10984.308
09:30:00,10595.758,10546.793,12775.84,12778.293,12628.128,11871.886,11053.023
09:45:00,10530.452,10599.47,12900.153,12934.671,13075.617,11944.65,11181.136
10:00:00,10663.987,10901.376,12973.094,13034.096,13278.702,12210.166,11303.105
10:15:00,10840.75,11124.134,13166.712,13280.634,13446.155,12256.539,11592.017
10:30:00,10898.02,11131.432,12524.055,13280.073,13437.481,12379.791,11603.719
10:45:00,11249.45,11317.75,13217.076,13591.867,13607.95,12554.162,11838.427
11:00:00,11321.688,11441.642,13364.798,13526.537,13732.099,12409.051,11806.415
11:15:00,11250.999,11360.029,13529.208,13508.218,13692.648,12523.154,11941.076
11:30:00,11434.044,11472.782,13618.41,13673.049,13970.114,12701.943,11985.537
11:45:00,11506.708,11584.936,13407.873,13777.889,13850.529,12799.543,12141.154
12:00:00,11573.281,11745.673,13544.045,13837.265,13995.088,12736.495,12205.629
12:15:00,11646.8,11818.534,13892.518,13937.761,13939.479,12873.457,12054.287
12:30:00,11425.463,11741.256,14054.279,13976.363,13847.558,12839.27,12164.385
12:45:00,11607.547,11798.698,14124.172,13864.193,13969.335,12762.462,12142.707
13:00:00,11485.338,11580.185,14316.941,13981.271,14024.099,12992.606,12093.514
13:15:00,11510.437,11746.545,14135.458,13956.783,14109.102,12664.621,12048.609
13:30:00,11601.224,11698.86,14239.084,13985.485,14023.72,12755.178,12008.622
13:45:00,11655.906,11659.911,14200.782,14103.243,13923.748,12803.609,12279.164
14:00:00,11505.355,11780.887,14259.138,14010.119,14151.99,12618.031,12129.33
14:15:00,11456.924,11789.499,14251.952,14101.048,14084.562,12607.277,12207.168
14:30:00,11377.223,11789.319,14101.983,14094.447,14014.158,12654.867,12121.716
14:45:00,11341.975,11703.373,14112.71,14046.594,13950.173,12676.058,12110.056
15:00:00,11375.268,11640.486,14167.467,14014.803,13779.22,12606.847,12227.879
15:15:00,11394.776,11614.854,14161.35,13917.027,13647.979,12411.303,12078.712
15:30:00,11369.448,11621.794,14156.842,13944.135,13541.309,12563.501,12054.79
15:45:00,11125.267,11647.234,14232.771,13936.448,13456.949,12451.265,12088.009
16:00:00,11131.904,11555.379,13931.206,13900.335,13421.076,12265.545,11960.9
16:15:00,10990.833,11450.922,13774.836,13511.756,13213.622,12173.561,12082.483
16:30:00,10926.3,11355.119,13575.937,13207.915,12976.883,12297.466,11927.779
16:45:00,10904.616,11291.723,13351.395,13236.188,12551.518,12230.243,11919.856
17:00:00,11103.763,11165.85,13203.812,12877.984,12631.823,11959.611,11911.998
17:15:00,11041.757,11263.047,12915.669,12685.208,12351.746,12037.729,11887.572
17:30:00,10934.214,11203.781,12961.967,12543.697,12425.21,12019.825,11790.92
17:45:00,10965.726,11169.566,12827.973,12633.224,12413.912,12213.737,11801.217
18:00:00,11136.046,11620.241,13106.302,12933.3,12548.862,12277.235,11919.53
18:15:00,11500.586,11995.675,13557.892,13445.743,12944.622,12624.83,12259.643
18:30:00,12260.078,12694.852,14140.597,14178.578,13581.085,13097.052,13010.914
18:45:00,12776.59,13199.603,14930.432,14717.852,14217.462,13714.47,13493.66
19:00:00,12954.973,13220.01,14980.984,14726.882,14167.878,13808.088,13816.732
19:15:00,12844.565,13320.741,14988.334,14855.265,14294.877,13717.644,13910.672
19:30:00,12831.161,13496.242,15166.238,14960.08,14386.044,13949.749,13883.029
19:45:00,12956.523,13532.545,15094.177,15135.757,14310.125,13996.211,14003.871
20:00:00,12952.596,13456.148,15011.533,15147.945,14135.727,13919.938,13966.023
20:15:00,12956.657,13422.846,14940.582,14817.26,13993.332,13686.314,13838.278
20:30:00,12907.865,13322.255,14702.511,14698.489,13893.566,13736.33,13923.49
20:45:00,12956.682,13390.958,14762.666,14638.109,13813.744,13734.625,13896.448
21:00:00,12962.547,13273.787,14313.968,14533.438,13792.633,13361.098,13695.59
21:15:00,12815.252,13310.979,14157.138,14304.175,13584.274,13459.754,13671.445
21:30:00,12783.403,13233.032,13824.104,14055.797,13257.941,13296.772,13490.286
21:45:00,12735.597,12976.125,13572.254,13858.321,13200.194,13214.505,13342.198
22:00:00,12483.652,12898.793,13267.681,13534.423,12893.789,12969.36,13255.081
22:15:00,12420.884,12802.236,13046.417,13359.811,12651.724,12790.838,13153.751
22:30:00,12202.975,12562.985,12866.683,13166.125,12397.799,12538.789,12766.677
22:45:00,11929.445,12540.001,12700.473,12807.939,12246.242,12330.473,12496.525
23:00:00,11895.475,12360.221,12255.516,12471.803,11915.525,12236.686,12324.314
23:15:00,11615.431,12031.762,12047.813,12299.461,11924.966,11996.169,12162.917
23:30:00,11378.569,11995.597,11868.777,12119.707,11757.882,11833.993,11895.47
23:45:00,11277.553,11837.562,11643.587,11882.646,11580.526,11649.768,11707.306
