,P-JW1-MON,P-JW2-MON,P-JW3-MON,P-JW4-MON,P-FW1-MON,P-FW2-MON,P-FW3-MON,P-FW4-MON
19:45:00,3747.851,3697.88,3754.882,3682.093,2757.867,3208.392,3864.286,3996.33
20:00:00,3746.875,3697.332,3808.337,3759.008,2814.673,3246.895,3844.601,3921.194
20:15:00,3723.316,3730.281,3822.051,3794.151,2786.532,3252.3,3873.062,3923.113
20:30:00,3720.132,3680.254,3802.528,3772.484,2793.06,3312.997,3807.379,3938.482
20:45:00,3677.517,3690.789,3717.972,3763.198,2774.457,3262.363,3828.34,3889.254
21:00:00,3675.06,3672.233,3765.267,3738.251,2773.42,3292.502,3817.659,3886.483
21:15:00,3588.314,3559.88,3636.378,3679.548,2714.451,3303.194,3712.479,3835.244
21:30:00,3590.048,3507.543,3505.332,3558.641,2710.806,3241.686,3691.197,3749.108
21:45:00,3547.948,3489.611,3503.877,3445.604,2620.721,3273.022,3622.023,3667.547
22:00:00,3475.239,3421.522,3420.16,3367.516,2602.811,3261.26,3565.26,3639.97
22:15:00,3416.828,3379.054,3344.98,3313.158,2538.631,3223.885,3470.421,3526.927
22:30:00,3382.802,3307.416,3288.017,3267.838,2479.627,3204.431,3460.719,3475.506
22:45:00,3253.669,3212.808,3146.584,3190.377,2407.317,3133.792,3352.266,3341.167
23:00:00,3135.095,3119.631,3097.041,3088.021,2331.64,3075.46,3272.706,3323.701
23:15:00,3096.66,3015.111,2983.529,3070.956,2260.954,3063.878,3200.37,3284.675
23:30:00,2994.902,2927.845,2906.658,2950.999,2216.069,2955.657,3121.777,3161.048
23:45:00,2958.74,2897.188,2831.575,2904.348,2161.383,2925.527,3085.467,3117.757
