,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
06:45:00,3038.32,3087.543,2977.228,2850.193,2947.47,2612.501,2692.885,2973.419,2803.993,2595.717,2789.151,2884.026,2374.233,3181.052,2717.57,2713.069,2890.698,2846.033,2829.854,2815.329,2341.051,2794.146,2758.774,2737.512,2777.157,2701.848,2946.128,1911.433
07:00:00,3017.654,3126.944,2988.579,2893.072,2924.925,2646.724,2578.634,2996.861,2744.691,2683.41,2783.961,3047.53,2425.332,3288.854,2803.319,2814.552,2910.591,2770.389,2874.525,2801.666,2419.406,2787.977,2731.966,2813.92,2807.917,2912.934,3812.362,1855.074
07:15:00,3039.097,3138.066,3030.268,2914.644,2969.288,2718.472,2633.192,3049.542,2857.628,2758.151,2929.819,2985.944,2452.967,3370.156,2821.289,2799.609,2875.32,2931.636,3030.051,2853.104,2526.818,2839.833,2771.924,2761.956,2746.892,2903.143,2096.676,2003.258
07:30:00,3166.026,3285.845,3099.621,3007.05,3349.811,2827.745,2656.748,3047.961,2879.164,2759.359,2950.668,3171.121,2590.906,3434.845,2838.304,2855.592,3065.401,2917.989,3069.441,2742.406,2645.593,2968.685,3083.01,2897.317,3151.398,2982.721,2151.899,1963.461
07:45:00,3327.686,3285.727,3176.417,3279.27,3470.654,2894.366,2723.941,3175.72,3015.057,2934.443,3033.368,3214.868,2753.172,3597.335,3246.119,3011.441,3054.768,3032.415,3149.191,2819.389,2675.398,3035.311,3153.691,2876.035,3160.657,3003.94,2167.355,1965.899
08:00:00,3366.281,3407.573,3323.497,2432.047,3527.287,2927.782,2748.929,3365.697,3462.377,2940.222,3433.708,3313.017,2778.345,3632.141,3299.942,3357.16,3398.866,3253.528,3538.069,2906.904,2722.035,3040.386,3317.56,3385.715,3244.654,3412.453,2278.46,2138.866
08:15:00,3507.54,3549.891,3501.16,3356.972,3804.121,3032.57,2878.674,3497.036,2096.328,2868.609,3537.677,3276.75,3113.3,3755.212,3318.129,3376.077,3456.535,3351.713,3508.551,3139.428,2939.363,3259.01,3253.278,3396.386,3288.274,3519.333,2292.913,2119.193
08:30:00,3520.404,3527.021,3561.31,3290.382,3852.869,3263.085,2964.507,3710.323,1925.627,3549.809,3577.616,3281.839,3198.075,4004.935,3427.796,3442.63,3579.283,3396.669,3562.953,3060.865,2984.37,3327.064,3410.093,3480.654,3654.044,3653.339,2229.248,2268.792
08:45:00,3555.115,3580.97,3675.172,3405.639,3846.267,3287.548,2966.219,3734.733,2001.343,3691.869,3714.841,3346.171,3170.264,4020.66,3460.592,3594.737,3865.695,3578.19,3547.318,3233.51,3015.101,3398.482,3728.677,3478.965,3670.7,3791.134,2312.901,2228.673
09:00:00,3607.385,3918.787,3765.71,3443.663,3948.769,3328.595,3059.625,3855.046,2064.542,3827.267,3952.633,3790.619,3233.062,4137.226,3392.37,3918.291,3926.166,3631.652,3680.359,3286.717,3093.902,3444.806,3900.215,3485.801,3868.242,3829.074,2548.35,2280.085
09:15:00,4006.452,3885.184,3817.412,3416.391,4151.006,3447.83,3108.813,4017.163,2107.0,3886.019,3930.402,3810.784,3309.04,4149.328,3512.175,3922.357,3986.662,3630.733,3624.97,3568.529,3057.84,3789.031,3889.782,3649.799,3847.412,3890.855,2598.07,2233.759
09:30:00,4053.156,3898.504,3810.241,3541.138,4203.336,3427.217,3193.303,4033.471,3871.13,3837.626,3954.673,3889.462,3370.343,4208.09,3858.563,3991.011,3997.982,3650.041,3855.487,3593.132,3172.988,3841.397,3926.634,3938.26,3870.82,3860.209,2583.207,2411.562
09:45:00,4069.053,4023.198,3828.973,3572.484,4211.333,3555.573,3142.21,4064.657,3922.742,3868.859,4106.727,3947.982,3485.8,4393.022,3990.484,3950.328,4058.919,3696.152,3861.401,3663.257,3296.559,3892.694,3939.359,3968.311,3881.022,3985.577,2667.983,2423.927
10:00:00,4023.061,4120.435,3874.16,3624.943,4241.849,3674.538,3451.182,4149.314,3951.584,3905.188,4099.389,3854.131,3543.541,4433.532,3875.666,3988.267,4022.495,3657.895,3998.431,3644.589,3229.47,3848.141,3874.855,4000.846,3804.64,3952.284,2678.955,2424.392
10:15:00,4081.726,4068.282,3896.019,3691.792,4325.627,3717.278,3487.329,4165.612,3995.109,3998.652,4058.945,3938.328,3627.029,4507.523,3898.063,4060.469,3992.228,3751.148,3999.324,3654.405,3304.294,3974.484,4014.693,3960.013,4021.955,4046.933,2705.289,2482.905
10:30:00,4128.313,4152.835,3913.698,3815.989,4306.236,3993.089,3515.879,4271.437,4085.658,3988.908,4059.185,3903.653,3628.007,4536.615,3942.1,4088.924,4096.132,3687.891,4026.718,3754.944,3335.828,3971.429,4063.858,4001.212,4056.797,4029.068,2706.793,2478.071
10:45:00,4205.198,4204.068,3955.175,3785.767,4349.121,4025.032,3582.819,4271.828,4056.261,4014.61,4031.519,3870.606,3842.579,4640.742,3880.498,4078.975,4126.543,3776.188,3944.557,3738.491,3334.282,3934.143,4061.593,3982.953,4174.231,4026.178,2863.722,2484.78
11:00:00,4309.52,4260.201,3983.707,3850.412,4324.609,3986.577,3538.638,4276.856,4064.347,4045.857,4056.382,3914.625,3840.446,4646.257,4007.044,4125.001,4066.696,3798.396,4007.08,3711.131,3352.187,3938.23,3919.156,4044.253,4190.241,4101.505,2775.816,2483.633
11:15:00,4230.981,4213.318,3954.11,3678.842,4408.946,4097.654,3592.942,4174.488,4110.39,4017.764,4257.722,3925.5,3859.653,4631.745,4026.621,4241.133,4049.443,3878.562,4067.409,3759.073,3333.702,4163.039,3960.834,4011.429,4161.856,4041.524,2812.554,2801.987
11:30:00,4201.01,4194.925,3923.777,3807.173,4495.62,4089.778,3683.642,4101.884,4188.111,4206.283,4255.059,3980.951,3927.847,4761.109,3977.647,4280.21,4093.126,3874.221,4230.171,3864.941,3363.1,4126.617,3977.161,3952.883,4175.568499999999,4033.096,2844.333,2802.873
11:45:00,4199.962,4201.295,3776.919,3822.812,4443.379,4083.825,3663.352,4270.703,4157.036,4168.414,4175.363,4066.921,3913.593,4848.897,4052.519,4374.541,3996.786,3896.971,4158.673,3735.13,3353.62,4117.966,3977.294,3941.103,4189.281,3979.015,2785.55,2854.733
12:00:00,4229.196,4197.414,3678.719,3837.199,4445.2,4097.153,3583.564,4242.985,4108.749,4192.332,4245.139,4071.15,3915.758,4811.296,4061.875,4227.662,4017.105,3901.196,4182.04,3611.353,3252.541,4187.392,3987.049,3910.447,4268.901,4069.214,2795.596,2774.418
12:15:00,4359.63,4162.016,3847.851,3798.868,4365.779,4074.471,3621.637,4047.329,4023.938,4231.892,4195.048,3975.928,3910.011,4750.83,4085.098,4229.22,4128.875,3935.143,3976.147,3750.614,3381.338,4160.34,4119.864,4180.919,4170.017,4032.615,2802.119,2857.29
12:30:00,4392.347,4157.619,3853.589,3833.448,4367.116,4061.903,3693.01,4077.811,4090.345,4194.64,4264.281,4057.284,3950.835,4771.232,4141.119,4322.592,4095.059,4009.92,3969.719,3640.436,3336.453,4111.693,4054.124,4238.365,4168.772,3991.072,2791.49,2808.869
12:45:00,4193.383,4151.786,3920.616,3920.649,4374.186,4051.55,3610.707,4342.583,4067.898,4310.32,4207.742,4031.289,3911.105,4980.969,4252.543,4386.352,4177.545,3956.011,3989.091,3680.603,3359.257,4106.433,4113.749,4215.477,4166.32,3941.622,2762.534,2709.655
13:00:00,4292.47,4056.072,3962.079,3972.298,4405.437,4081.224,3630.96,4292.33,4100.858,4250.036,4186.621,4039.361,3899.757,4940.333,4302.194,4338.692,4197.637,3988.135,4031.615,3721.381,3366.908,4132.642,3985.981,4269.365,4250.729,4105.874,2814.698,2783.071
13:15:00,4236.129,4119.326,3977.547,3974.206,4466.94,4074.43,3727.121,4259.306,4024.816,4257.323,4194.828,4083.685,3870.029,3975.117,4385.804,4390.061,4141.515,4099.826,4029.789,3767.506,3412.775,4145.119,4158.927,4307.528,4244.071,4115.529,2811.055,2733.193
13:30:00,4302.452,4330.37,4038.362,3924.467,4502.467,4096.065,3647.234,4311.42,4155.266,4338.764,4153.556,4092.579,3950.06,3947.59,4472.116,4446.982,4175.911,4169.931,4032.497,3752.831,3387.81,4174.288,4162.825,4310.398,4211.661,4146.617,2857.609,2713.006
13:45:00,4302.441,4362.377,4016.622,3957.207,4496.075,4134.521,3646.042,4302.339,4154.12,4359.218,4201.328,4049.319,3974.624,3237.347,4480.262,4395.063,4115.523,4189.739,4183.234,3790.415,3370.717,4086.605,4140.328,4353.095,4343.848,4182.234,2841.23,2805.68
14:00:00,4312.958,4349.135,3947.77,3904.016,4402.812,3968.675,3592.166,4254.878,4082.368,4326.198,4136.538,3989.95,3881.185,3347.158,4366.414,4411.342,4123.913,4161.758,4129.513,3725.23,3332.99,4089.677,4061.836,4345.004,4302.143,4198.945,2817.14,2825.23
