,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
10:00:00,578.444,589.353,616.166,556.469,599.723,476.986,333.139
10:15:00,600.327,590.221,595.954,569.63,609.819,528.681,343.318
10:30:00,635.513,596.789,659.324,618.243,616.367,574.224,369.448
10:45:00,645.363,603.664,656.698,647.897,612.008,565.899,382.841
11:00:00,684.374,616.262,674.503,622.707,624.617,598.317,354.767
11:15:00,701.096,595.091,625.962,656.373,645.788,592.974,410.114
11:30:00,677.538,616.772,621.246,655.207,645.251,611.98,405.244
11:45:00,652.517,597.673,645.296,626.713,649.782,586.074,411.668
12:00:00,679.688,605.917,656.12,625.797,643.306,589.584,420.978
12:15:00,685.272,591.917,643.788,629.544,602.582,588.141,447.713
12:30:00,704.973,600.332,643.129,617.342,589.714,590.648,439.187
12:45:00,695.17,601.961,646.727,621.232,574.237,607.786,441.761
13:00:00,733.523,612.783,662.873,645.416,613.786,605.377,432.232
13:15:00,744.786,602.339,657.95,636.809,606.56,593.354,423.398
13:30:00,689.442,582.206,647.384,623.372,596.79,599.623,428.687
13:45:00,678.266,608.429,667.91,637.463,622.644,593.837,449.102
14:00:00,686.511,581.631,644.239,622.221,612.138,585.278,423.304
14:15:00,690.937,601.143,634.752,625.049,590.287,569.868,410.448
14:30:00,662.628,628.697,641.028,655.509,601.704,562.101,414.497
14:45:00,651.247,632.186,666.61,618.371,636.474,539.737,404.318
15:00:00,655.776,657.249,657.551,643.026,651.852,550.324,415.417
15:15:00,662.644,622.163,638.653,634.427,640.173,557.77,414.85
15:30:00,642.207,635.266,649.161,637.679,630.251,521.922,402.008
15:45:00,686.343,629.969,657.207,638.031,636.117,535.398,417.607
16:00:00,643.053,638.301,616.398,593.134,614.712,497.529,420.547
16:15:00,598.778,619.578,586.913,588.889,611.322,471.699,414.482
16:30:00,560.139,599.287,584.453,542.743,545.741,448.24,398.591
16:45:00,510.279,498.102,501.482,449.13,420.813,464.962,393.482
17:00:00,483.873,452.531,504.011,442.153,406.398,482.031,389.44
17:15:00,483.526,411.75,465.437,440.447,397.294,485.138,392.384
17:30:00,411.421,420.591,448.388,428.827,406.741,457.499,391.926
17:45:00,352.077,378.471,369.259,376.869,375.186,466.354,386.306
18:00:00,334.068,360.482,368.91,372.161,395.409,458.516,377.796
18:15:00,359.341,369.796,344.314,381.19,396.144,452.418,400.619
18:30:00,393.146,418.567,383.73,406.187,406.934,468.213,441.239
18:45:00,487.661,455.267,429.041,462.472,456.856,514.58,485.21
19:00:00,478.072,433.943,434.493,472.824,471.973,515.526,456.851
19:15:00,475.437,434.362,404.787,450.169,456.621,495.332,452.71
19:30:00,467.998,473.162,423.409,457.371,462.547,506.502,428.931
19:45:00,479.553,468.532,439.523,505.809,463.186,510.561,445.708
20:00:00,471.949,480.459,365.117,516.366,463.357,488.324,436.666
20:15:00,484.546,471.307,380.571,487.42,456.623,433.61,458.41
20:30:00,449.949,486.434,437.396,459.052,465.512,422.589,433.17
20:45:00,460.469,475.512,474.807,427.109,441.857,434.344,425.262
21:00:00,452.069,467.784,485.578,415.634,405.484,463.109,400.37
21:15:00,400.352,476.944,440.007,443.07,451.129,458.766,434.918
21:30:00,432.3,478.618,460.357,437.7,454.087,456.581,439.25
21:45:00,404.663,470.372,476.372,442.133,441.492,424.589,412.84
22:00:00,432.992,468.367,451.072,449.69,470.34,445.213,434.463
22:15:00,401.243,461.406,411.903,412.888,421.423,466.258,409.497
22:30:00,437.41,468.147,434.439,436.801,458.069,387.978,428.061
22:45:00,428.177,458.342,405.966,370.138,432.788,379.374,431.024
23:00:00,404.998,429.289,399.441,402.329,432.713,388.163,436.942
23:15:00,402.866,437.859,422.924,394.316,392.356,381.604,395.254
23:30:00,382.556,431.856,381.232,415.39,356.797,369.096,352.923
23:45:00,402.878,399.537,374.766,309.569,381.963,362.448,349.737
