,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN
08:00:00,278.584,252.359,344.018,391.298,318.418,328.822,169.752
08:15:00,258.407,280.221,374.459,426.592,408.749,352.608,214.241
08:30:00,281.243,269.927,389.183,441.236,488.429,433.893,203.089
08:45:00,253.65,274.438,395.467,461.944,547.196,397.212,217.077
09:00:00,261.799,290.409,420.379,468.011,560.416,421.969,227.869
09:15:00,313.72,262.041,418.377,486.313,547.653,404.616,305.61
09:30:00,312.569,257.759,403.157,496.53,533.394,403.21,309.398
09:45:00,341.588,272.348,408.867,533.968,573.097,414.379,348.299
10:00:00,314.862,362.524,422.272,552.84,572.63,444.686,355.417
10:15:00,333.337,367.986,418.08,568.426,590.874,454.507,367.0
10:30:00,335.04,384.748,375.897,572.88,593.818,494.402,408.143
10:45:00,357.0,348.773,351.496,536.451,584.156,524.223,412.406
11:00:00,349.988,361.639,429.527,602.737,605.388,482.021,369.107
11:15:00,368.428,373.203,438.742,617.04,639.606,503.823,431.64
11:30:00,350.53,377.819,448.61,599.543,704.492,492.631,454.966
11:45:00,337.284,376.603,538.868,663.356,710.958,503.481,453.297
12:00:00,338.166,396.516,604.637,626.776,693.794,495.096,436.703
12:15:00,352.648,386.994,629.378,646.077,614.712,496.746,442.233
12:30:00,377.928,383.516,640.85,666.686,649.943,489.39,432.033
12:45:00,380.959,365.309,706.254,635.076,658.081,484.409,445.493
13:00:00,378.677,350.229,813.904,633.647,649.226,520.958,457.914
13:15:00,363.156,365.832,812.904,622.471,655.161,491.276,448.17
13:30:00,351.172,377.596,835.339,647.442,636.873,489.099,443.536
13:45:00,345.038,383.313,832.884,688.359,657.797,497.894,442.021
14:00:00,337.911,401.167,844.777,679.049,661.356,476.12,433.586
14:15:00,353.502,407.929,859.32,670.474,698.21,467.654,433.909
14:30:00,358.428,416.566,808.592,651.799,687.126,460.283,456.002
14:45:00,348.727,379.179,690.664,660.451,679.386,448.548,451.987
15:00:00,354.981,378.157,708.074,624.823,683.037,436.8,461.501
15:15:00,337.781,377.177,778.536,678.896,676.731,437.607,433.336
15:30:00,314.78,376.907,769.784,668.079,652.758,444.707,429.076
15:45:00,306.964,377.683,757.363,613.744,625.546,446.462,413.388
16:00:00,316.65,364.874,718.271,636.016,640.427,420.176,416.189
16:15:00,333.158,349.324,709.921,604.323,636.103,409.888,407.747
16:30:00,343.246,338.778,699.57,567.002,557.151,403.82,410.621
16:45:00,323.744,340.189,546.411,563.47,478.229,387.33,402.272
17:00:00,333.561,358.711,523.241,517.688,485.944,372.756,403.807
17:15:00,304.207,359.603,495.744,440.604,415.688,362.893,401.751
17:30:00,311.977,349.982,411.941,411.849,407.562,358.136,410.497
17:45:00,301.277,311.231,366.407,369.956,374.701,318.141,375.659
18:00:00,299.259,307.056,353.14,389.909,369.631,305.893,344.73
18:15:00,300.941,312.657,341.771,399.31,370.051,338.401,337.199
18:30:00,348.969,355.858,375.829,385.612,424.141,375.266,373.709
18:45:00,352.793,373.199,396.051,479.401,455.476,417.378,425.819
19:00:00,360.547,337.466,405.73,481.011,432.439,433.108,416.958
19:15:00,338.382,362.136,404.638,465.268,437.733,432.75,410.471
19:30:00,349.786,350.558,401.632,479.317,435.753,389.5,388.914
19:45:00,337.108,368.638,418.644,466.069,453.904,427.148,412.747
20:00:00,346.347,358.72,407.891,495.783,422.85,398.447,411.757
20:15:00,351.204,356.234,421.707,486.979,433.16,405.613,417.483
20:30:00,373.679,338.032,417.476,466.129,438.787,387.694,421.027
20:45:00,354.129,345.206,417.747,455.236,466.727,392.053,416.158
21:00:00,368.896,362.939,404.954,424.701,423.692,385.149,427.9
21:15:00,384.179,362.457,414.782,403.918,414.373,401.997,461.944
21:30:00,366.664,384.653,396.942,445.481,440.509,388.529,440.941
21:45:00,365.867,357.319,379.093,415.849,434.339,396.144,434.291
22:00:00,390.358,405.493,392.073,457.042,422.499,349.312,419.45
22:15:00,381.246,382.114,360.822,426.137,371.219,332.867,428.261
22:30:00,389.408,370.188,400.752,445.068,391.459,345.026,429.388
22:45:00,404.352,397.228,398.49,449.873,375.923,353.132,433.466
23:00:00,384.083,393.488,397.273,444.363,401.16,364.569,428.192
23:15:00,420.389,405.207,291.534,409.221,361.811,366.623,415.283
23:30:00,390.772,383.654,312.369,418.04,395.024,366.428,397.994
23:45:00,394.246,391.154,295.899,394.052,363.993,306.083,384.638
