,Q-JW1-MON,Q-JW1-TUE,Q-JW1-WED,Q-JW1-THU,Q-JW1-FRI,Q-JW1-SAT,Q-JW1-SUN,Q-JW2-MON,Q-JW2-TUE,Q-JW2-WED,Q-JW2-THU,Q-JW2-FRI,Q-JW2-SAT,Q-JW2-SUN,Q-JW3-MON,Q-JW3-TUE,Q-JW3-WED,Q-JW3-THU,Q-JW3-FRI,Q-JW3-SAT,Q-JW3-SUN,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
06:45:00,3038.32,3087.543,2977.228,2850.193,2947.47,2612.501,2692.885,2973.419,2803.993,2595.717,2789.151,2884.026,2374.233,3181.052,2717.57,2713.069,2890.698,2846.033,2829.854,2815.329,2341.051,2794.146,2758.774,2737.512,2777.157,2701.848,2946.128,1911.433,2160.598,1993.81,2109.962,2241.457,1294.702,2167.225,2268.459,2224.038,2067.376,2431.702,2326.275,2498.232,2033.998,1996.016,2459.684,2547.643,2662.718,2451.402,2378.467,1877.775,1922.718
07:00:00,3017.654,3126.944,2988.579,2893.072,2924.925,2646.724,2578.634,2996.861,2744.691,2683.41,2783.961,3047.53,2425.332,3288.854,2803.319,2814.552,2910.591,2770.389,2874.525,2801.666,2419.406,2787.977,2731.966,2813.92,2807.917,2912.934,3812.362,1855.074,2233.585,2160.637,2107.184,2279.339,1205.587,2162.694,2248.922,2081.557,2072.84,2494.907,2367.673,2590.442,2021.457,2008.763,2492.798,2569.893,2593.05,2449.485,2485.068,1969.551,2048.94
07:15:00,3039.097,3138.066,3030.268,2914.644,2969.288,2718.472,2633.192,3049.542,2857.628,2758.151,2929.819,2985.944,2452.967,3370.156,2821.289,2799.609,2875.32,2931.636,3030.051,2853.104,2526.818,2839.833,2771.924,2761.956,2746.892,2903.143,2096.676,2003.258,2202.291,2035.635,2176.148,2264.294,1214.039,2154.39,2168.697,2071.212,2030.574,2553.788,2411.847,2611.364,2073.509,1992.107,2618.069,2624.035,2882.119,2435.522,2416.065,2039.094,2017.106
07:30:00,3166.026,3285.845,3099.621,3007.05,3349.811,2827.745,2656.748,3047.961,2879.164,2759.359,2950.668,3171.121,2590.906,3434.845,2838.304,2855.592,3065.401,2917.989,3069.441,2742.406,2645.593,2968.685,3083.01,2897.317,3151.398,2982.721,2151.899,1963.461,2232.139,2164.972,2151.206,2274.83,1235.169,2164.32,2084.58,2135.324,1965.0,2532.474,2222.632,2601.499,2078.297,2074.104,2640.438,2696.942,2908.539,2557.168,2551.094,2022.376,2095.575
07:45:00,3327.686,3285.727,3176.417,3279.27,3470.654,2894.366,2723.941,3175.72,3015.057,2934.443,3033.368,3214.868,2753.172,3597.335,3246.119,3011.441,3054.768,3032.415,3149.191,2819.389,2675.398,3035.311,3153.691,2876.035,3160.657,3003.94,2167.355,1965.899,2293.444,2256.656,2187.804,2371.082,2659.823,2145.268,2221.262,2110.437,2061.353,2612.984,2731.426,2638.435,2262.476,2072.689,2884.234,2781.837,2928.361,2583.126,2674.906,2244.394,2079.467
08:00:00,3366.281,3407.573,3323.497,2432.047,3527.287,2927.782,2748.929,3365.697,3462.377,2940.222,3433.708,3313.017,2778.345,3632.141,3299.942,3357.16,3398.866,3253.528,3538.069,2906.904,2722.035,3040.386,3317.56,3385.715,3244.654,3412.453,2278.46,2138.866,2361.82,2215.513,2438.837,2457.896,2551.062,2389.795,2259.173,2159.274,2079.314,2770.495,2906.755,2865.725,2425.036,2169.686,2878.225,2914.606,3168.266,2721.063,2834.99,2380.691,2326.673
08:15:00,3507.54,3549.891,3501.16,3356.972,3804.121,3032.57,2878.674,3497.036,2096.328,2868.609,3537.677,3276.75,3113.3,3755.212,3318.129,3376.077,3456.535,3351.713,3508.551,3139.428,2939.363,3259.01,3253.278,3396.386,3288.274,3519.333,2292.913,2119.193,2506.875,2445.077,2420.026,2486.636,2883.844,2387.953,2375.092,2217.15,2114.83,2836.043,2900.355,3009.681,2576.492,2194.031,2984.334,3020.976,3390.848,2932.426,3062.003,2616.228,2252.138
08:30:00,3520.404,3527.021,3561.31,3290.382,3852.869,3263.085,2964.507,3710.323,1925.627,3549.809,3577.616,3281.839,3198.075,4004.935,3427.796,3442.63,3579.283,3396.669,3562.953,3060.865,2984.37,3327.064,3410.093,3480.654,3654.044,3653.339,2229.248,2268.792,2597.211,2726.232,2546.498,2607.139,2908.828,2347.29,2334.059,2294.498,2238.609,2964.707,3068.27,3274.753,2726.027,2382.809,3183.865,3162.409,3552.578,3061.024,3145.292,2726.479,2447.313
08:45:00,3555.115,3580.97,3675.172,3405.639,3846.267,3287.548,2966.219,3734.733,2001.343,3691.869,3714.841,3346.171,3170.264,4020.66,3460.592,3594.737,3865.695,3578.19,3547.318,3233.51,3015.101,3398.482,3728.677,3478.965,3670.7,3791.134,2312.901,2228.673,2626.823,2862.118,2640.868,2949.448,2903.03,2135.86,2647.738,2305.755,2282.062,2920.433,3048.494,3345.575,2674.758,2369.801,3189.308,3312.51,3591.411,3236.465,3218.4,2772.102,2551.908
09:00:00,3607.385,3918.787,3765.71,3443.663,3948.769,3328.595,3059.625,3855.046,2064.542,3827.267,3952.633,3790.619,3233.062,4137.226,3392.37,3918.291,3926.166,3631.652,3680.359,3286.717,3093.902,3444.806,3900.215,3485.801,3868.242,3829.074,2548.35,2280.085,2967.211,2833.426,2636.783,3027.943,2895.855,2408.239,2736.934,2309.434,2278.32,3002.171,3135.034,3421.454,2769.024,2494.24,3339.487,3358.048,3751.341,3224.971,3245.759,2791.052,2479.157
