,Q-JW4-MON,Q-JW4-TUE,Q-JW4-WED,Q-JW4-THU,Q-JW4-FRI,Q-JW4-SAT,Q-JW4-SUN
18:30:00,4261.187,4398.867,4277.197,4160.456,4319.37,3085.464,2973.395
18:45:00,4140.986,4386.414,4151.122,4047.026,4262.384,3093.726,3053.708
19:00:00,4170.462,4233.584,4221.307,4126.536,4303.699,2887.964,3033.951
19:15:00,4161.915,4172.847,4159.208,4027.519,4202.629,2904.57,2911.922
19:30:00,4095.744,4172.406,4069.088,3977.251,4206.228,2897.443,2913.895
19:45:00,4076.158,4171.493,4041.584,3997.958,4138.429,2846.839,2835.779
20:00:00,4041.114,4164.324,4099.37,3946.948,3933.288,2838.143,2932.917
20:15:00,4095.322,4145.559,3901.978,4031.667,3854.984,2798.558,2868.371
20:30:00,4008.179,4096.031,3948.168,3996.062,3914.569,2793.961,2787.266
20:45:00,4046.773,4076.452,3943.462,3929.42,3859.807,2764.761,2847.093
21:00:00,3909.8,3994.98,3884.532,3950.753,3805.522,2767.153,2887.382
21:15:00,3905.37,3769.149,3799.112,3954.821,3865.761,2625.046,2862.573
21:30:00,3412.554,3755.392,3855.48,3865.0,3715.014,2612.771,2530.357
21:45:00,3433.789,3585.828,3687.114,3476.221,3717.455,2632.456,2575.562
22:00:00,3489.32,3625.648,3503.608,3362.507,3582.492,2524.69,2539.226
22:15:00,3425.849,3332.013,3516.259,3376.334,3317.238,2585.346,2528.384
22:30:00,3421.403,3221.911,3475.006,3441.049,3223.941,2549.882,2498.837
22:45:00,3256.808,3306.734,3476.617,3404.404,3427.721,2587.741,2512.112
23:00:00,3336.171,3260.934,3444.078,3329.37,3384.419,2591.726,2582.421
23:15:00,3300.104,3276.975,3505.356,3291.524,3310.717,2645.965,2510.072
23:30:00,3215.467,3239.502,3193.03,3261.906,3266.135,2526.05,2525.489
23:45:00,3177.384,3156.632,3215.239,3206.223,3270.156,2562.558,2428.278
